nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Rock Band 2,X360,Misc,Electronic Arts,2.16,14-Sep-08,92.0,69.0,8.3,139.0,Harmonix Music Systems
PES 2009: Pro Evolution Soccer,PS3,Sports,Konami Digital Entertainment,2.09,,,,,,
Sonic Unleashed,Wii,Platform,Sega,2.04,18-Nov-08,66.0,30.0,7.4,104.0,Sonic Team
Star Wars: The Force Unleashed,PS3,Action,LucasArts,2.03,16-Sep-08,71.0,47.0,6.5,191.0,LucasArts
Need For Speed: Undercover,PS3,Racing,Electronic Arts,1.96,17-Nov-08,59.0,40.0,5.8,60.0,EA Vancouver
FIFA Soccer 09,X360,Sports,Electronic Arts,1.93,13-Oct-08,87.0,51.0,8,87.0,EA Canada
Dead Space,PS3,Action,Electronic Arts,1.9,13-Oct-08,88.0,67.0,8.8,394.0,EA Redwood Shores
Call of Duty: World at War,Wii,Shooter,Activision,1.89,10-Nov-08,83.0,19.0,7.6,70.0,Exakt
Guitar Hero: World Tour,PS3,Misc,Activision,1.84,26-Oct-08,84.0,43.0,7.5,74.0,Neversoft Entertainment
Burnout Paradise,PS3,Racing,Electronic Arts,1.83,22-Jan-08,87.0,55.0,7.6,371.0,Criterion Games
Star Wars: The Force Unleashed,Wii,Action,LucasArts,1.8,16-Sep-08,71.0,18.0,8,67.0,Krome Studios
Need For Speed: Undercover,X360,Racing,Electronic Arts,1.59,17-Nov-08,64.0,62.0,6.2,92.0,EA Vancouver
Far Cry 2,X360,Shooter,Ubisoft,1.56,21-Oct-08,85.0,75.0,6.7,239.0,Ubisoft Montreal
Rock Band 2,PS3,Misc,MTV Games,1.44,19-Oct-08,91.0,24.0,7.8,72.0,Harmonix Music Systems
Battlefield: Bad Company,X360,Shooter,Electronic Arts,1.42,23-Jun-08,83.0,71.0,7.7,228.0,EA DICE
Dead Space,X360,Action,Electronic Arts,1.33,13-Oct-08,89.0,79.0,8.7,644.0,EA Redwood Shores
Far Cry 2,PS3,Shooter,Ubisoft,1.32,21-Oct-08,85.0,49.0,6.6,179.0,Ubisoft Montreal
FIFA Soccer 09,PSP,Sports,Electronic Arts,1.32,13-Oct-08,84.0,8.0,8.9,21.0,EA Canada
Tom Clancy's Rainbow Six: Vegas 2,PS3,Shooter,Ubisoft,1.31,18-Mar-08,81.0,32.0,8,80.0,Ubisoft Montreal
Burnout Paradise,X360,Racing,Electronic Arts,1.3,22-Jan-08,88.0,68.0,6.9,236.0,Criterion Games
Battlefield: Bad Company,PS3,Shooter,Electronic Arts,1.28,23-Jun-08,84.0,50.0,8.1,165.0,EA DICE
NBA 2K9,X360,Sports,Take-Two Interactive,1.26,7-Oct-08,84.0,32.0,7.4,41.0,Visual Concepts
BioShock,PS3,Shooter,Take-Two Interactive,1.26,21-Oct-08,94.0,51.0,8.7,602.0,"Digital Extremes, 2K Marin"
Tomb Raider: Underworld,PS3,Adventure,Eidos Interactive,1.2,18-Nov-08,75.0,42.0,7.1,134.0,Nixxes Software
Pro Evolution Soccer 2008,Wii,Sports,Konami Digital Entertainment,1.19,18-Mar-08,83.0,19.0,8.5,42.0,Konami
Disney Sing It,Wii,Misc,Disney Interactive Studios,1.17,21-Oct-08,,,tbd,,Zoe Mode
LEGO Indiana Jones: The Original Adventures,PSP,Adventure,LucasArts,1.14,3-Jun-08,76.0,8.0,8.4,7.0,Traveller's Tales
LEGO Batman: The Videogame,PS3,Adventure,Warner Bros. Interactive Entertainment,1.12,23-Sep-08,75.0,24.0,7.6,19.0,Traveller's Tales
Mirror's Edge,X360,Action,Electronic Arts,1.11,11-Nov-08,79.0,82.0,7.5,265.0,EA DICE
Mirror's Edge,PS3,Action,Electronic Arts,1.07,11-Nov-08,79.0,66.0,7.8,257.0,EA DICE
GRID,PS3,Racing,Codemasters,1.05,3-Jun-08,87.0,39.0,8.1,81.0,Codemasters
Sega Superstars Tennis,Wii,Sports,Sega,1.04,18-Mar-08,71.0,24.0,5.9,11.0,Sumo Digital
Tomb Raider: Underworld,X360,Adventure,Eidos Interactive,1.03,18-Nov-08,76.0,57.0,6.4,171.0,Crystal Dynamics
Star Wars: The Force Unleashed,PSP,Action,LucasArts,1.03,16-Sep-08,70.0,10.0,8.7,33.0,Krome Studios
Rock Band 2,Wii,Misc,MTV Games,1.0,18-Dec-08,92.0,10.0,7.4,37.0,Harmonix Music Systems
Wall-E,Wii,Platform,THQ,1.0,24-Jun-08,51.0,18.0,3.3,7.0,Heavy Iron Studios
PES 2009: Pro Evolution Soccer,X360,Sports,Konami Digital Entertainment,0.99,,,,,,
Pro Evolution Soccer 2008,PSP,Sports,Konami Digital Entertainment,0.98,11-Mar-08,80.0,17.0,6.9,10.0,Konami
Sonic Unleashed,PS3,Platform,Sega,0.95,9-Dec-08,54.0,24.0,7.5,67.0,Sonic Team
LEGO Indiana Jones: The Original Adventures,PS3,Adventure,Activision,0.93,3-Jun-08,77.0,36.0,7.6,19.0,Traveller's Tales
Kung Fu Panda,Wii,Platform,Activision,0.9,3-Jun-08,70.0,20.0,6.8,4.0,Xpec
WWE SmackDown vs. Raw 2009,PS3,Fighting,THQ,0.9,9-Nov-08,78.0,37.0,6.9,40.0,Yuke's
WWE SmackDown vs. Raw 2009,X360,Fighting,THQ,0.9,9-Nov-08,79.0,47.0,6.9,28.0,Yuke's
Tom Clancy's EndWar,X360,Strategy,Ubisoft,0.88,4-Nov-08,77.0,63.0,7.3,50.0,Ubisoft Shanghai
CSI: Hard Evidence,Wii,Adventure,Ubisoft,0.88,,,,,,
Sonic Unleashed,X360,Platform,Sega,0.88,20-Nov-08,60.0,50.0,7.6,134.0,Sonic Team
GRID,X360,Racing,Codemasters,0.85,3-Jun-08,87.0,62.0,7.9,114.0,Codemasters
Pure,PS3,Racing,Disney Interactive Studios,0.84,23-Sep-08,83.0,43.0,8,23.0,Black Rock Studio
WWE SmackDown vs. Raw 2009,Wii,Fighting,THQ,0.82,9-Nov-08,79.0,18.0,8.5,18.0,Yuke's
Dragon Ball Z: Burst Limit,PS3,Fighting,Atari,0.82,10-Jun-08,71.0,32.0,6.9,35.0,"Dimps Corporation, Namco Bandai Games"
Sid Meier's Civilization Revolution,X360,Strategy,Take-Two Interactive,0.76,8-Jul-08,84.0,55.0,7.8,135.0,Firaxis Games
Need for Speed: ProStreet,PSP,Racing,Electronic Arts,0.76,18-Feb-08,57.0,14.0,6.9,17.0,EA Games
Need For Speed: Undercover,PSP,Racing,Electronic Arts,0.74,17-Nov-08,52.0,7.0,6.8,34.0,Piranha Games
WWE SmackDown vs. Raw 2009,PSP,Fighting,THQ,0.74,9-Nov-08,72.0,9.0,6,7.0,Yuke's
Turok,X360,Shooter,Touchstone,0.72,5-Feb-08,69.0,63.0,7.3,106.0,Propaganda Games
Sid Meier's Civilization Revolution,PS3,Strategy,Take-Two Interactive,0.7,8-Jul-08,85.0,39.0,7.7,77.0,Firaxis Games
NCAA Football 09,X360,Sports,Electronic Arts,0.69,15-Jul-08,83.0,24.0,7.7,26.0,EA Tiburon
Iron Man,PS3,Action,Sega,0.67,2-May-08,42.0,27.0,6.2,41.0,Secret Level
Wall-E,PSP,Platform,THQ,0.64,24-Jun-08,64.0,8.0,tbd,,Heavy Iron Studios
Tiger Woods PGA Tour 09,PS3,Sports,Electronic Arts,0.64,26-Aug-08,82.0,34.0,7.2,9.0,EA Tiburon
Tiger Woods PGA Tour 09,X360,Sports,Electronic Arts,0.64,26-Aug-08,84.0,41.0,8.2,26.0,EA Tiburon
Turok,PS3,Shooter,Touchstone,0.63,5-Feb-08,67.0,38.0,6.2,36.0,Propaganda Games
Iron Man,PSP,Action,Sega,0.61,2-May-08,44.0,7.0,7.2,13.0,Artificial Mind and Movement
NBA 2K9,PS3,Sports,Take-Two Interactive,0.61,7-Oct-08,82.0,30.0,6.9,35.0,Visual Concepts
Wall-E,X360,Platform,THQ,0.6,24-Jun-08,50.0,32.0,6,5.0,Heavy Iron Studios
Lost Planet: Extreme Condition,PS3,Shooter,Capcom,0.6,26-Feb-08,67.0,34.0,6.9,23.0,Capcom
Condemned 2: Bloodshot,X360,Shooter,Sega,0.6,11-Mar-08,80.0,76.0,8.6,150.0,Monolith Productions
Tom Clancy's EndWar,PS3,Strategy,Ubisoft,0.6,4-Nov-08,76.0,33.0,6.8,36.0,Ubisoft Shanghai
Major League Baseball 2K8,X360,Sports,Bethesda Softworks,0.59,3-Mar-08,70.0,28.0,5.9,34.0,Kush Games
Need For Speed: Undercover,Wii,Racing,Electronic Arts,0.59,17-Nov-08,54.0,12.0,6.3,26.0,Exient Entertainment
Top Spin 3,Wii,Sports,Take-Two Interactive,0.58,23-Jun-08,68.0,18.0,5.7,29.0,Pam Development
Iron Man,Wii,Action,Sega,0.58,2-May-08,44.0,14.0,7,8.0,Artificial Mind and Movement
NCAA Football 09,PS3,Sports,Electronic Arts,0.57,15-Jul-08,81.0,20.0,7.3,25.0,EA Tiburon
Disney Sing It! High School Musical 3: Senior Year,Wii,Misc,Disney Interactive Studios,0.56,,,,,,
Lost: Via Domus,X360,Action,Ubisoft,0.56,26-Feb-08,55.0,50.0,6.5,52.0,Ubisoft Montreal
Bolt,Wii,Adventure,Disney Interactive Studios,0.56,18-Nov-08,50.0,4.0,tbd,,Avalanche Software
Iron Man,X360,Action,Sega,0.55,2-May-08,45.0,43.0,5.9,45.0,Secret Level
Top Spin 3,X360,Sports,Take-Two Interactive,0.55,23-Jun-08,78.0,47.0,7.7,31.0,Pam Development
Top Spin 3,PS3,Sports,Take-Two Interactive,0.54,23-Jun-08,75.0,36.0,7.3,15.0,Pam Development
Madagascar: Escape 2 Africa,Wii,Action,Activision,0.53,4-Nov-08,62.0,12.0,tbd,,Toys for Bob
Way of the Samurai 3,PS3,Action,Gamebridge,0.5,13-Oct-09,58.0,18.0,7.8,18.0,Acquire
Kung Fu Panda,PS3,Platform,Activision,0.49,3-Jun-08,76.0,23.0,7.1,13.0,"Luxoflux, Inc."
Dragon Ball Z: Burst Limit,X360,Fighting,Atari,0.47,10-Jun-08,72.0,50.0,7.7,29.0,"Dimps Corporation, Namco Bandai Games"
Lost: Via Domus,PS3,Action,Ubisoft,0.47,26-Feb-08,54.0,30.0,7.1,24.0,Ubisoft Montreal
Pinball Hall of Fame: The Williams Collection,Wii,Misc,System 3 Arcade Software,0.45,26-Feb-08,82.0,16.0,8.8,34.0,Farsight Studios
Crash: Mind Over Mutant,X360,Platform,Vivendi Games,0.45,7-Oct-08,60.0,42.0,6.8,15.0,Radical Entertainment
Unreal Tournament III,X360,Shooter,Midway Games,0.44,,,,,,
Tomb Raider: Underworld,Wii,Adventure,Eidos Interactive,0.43,18-Nov-08,70.0,12.0,6.5,14.0,Crystal Dynamics
Enemy Territory: Quake Wars,X360,Shooter,Activision,0.42,27-May-08,69.0,54.0,7.5,23.0,Nerve Software
Crash: Mind Over Mutant,Wii,Platform,Vivendi Games,0.4,7-Oct-08,70.0,13.0,8.7,6.0,Radical Entertainment
Monster Jam: Urban Assault,Wii,Racing,Activision,0.39,28-Oct-08,,,7.8,5.0,Torus Games
Disney Sing It,X360,Misc,Disney Interactive Studios,0.39,21-Oct-08,53.0,10.0,5.2,6.0,Zoe Mode
Wall-E,PS3,Platform,THQ,0.39,24-Jun-08,51.0,24.0,3,5.0,Heavy Iron Studios
Crash: Mind Over Mutant,PSP,Platform,Vivendi Games,0.39,21-Oct-08,,,7.8,6.0,Virtuos
Disney Sing It! High School Musical 3: Senior Year,PS3,Misc,Disney Interactive Studios,0.37,,,,,,
Sega Superstars Tennis,PS3,Sports,Sega,0.37,18-Mar-08,67.0,31.0,7.3,6.0,Sumo Digital
Condemned 2: Bloodshot,PS3,Shooter,Sega,0.36,18-Mar-08,82.0,37.0,8.2,62.0,Monolith Productions
Tiger Woods PGA Tour 09,PSP,Sports,Electronic Arts,0.35,26-Aug-08,53.0,4.0,5.5,6.0,EA Tiburon
Enemy Territory: Quake Wars,PS3,Shooter,Activision,0.34,27-May-08,60.0,30.0,6.2,10.0,"Z-Axis, Ltd."
Karaoke Revolution Presents American Idol Encore 2,Wii,Misc,Konami Digital Entertainment,0.32,18-Nov-08,,,tbd,,Blitz Games
Golden Axe: Beast Rider,X360,Action,Sega,0.31,14-Oct-08,45.0,33.0,5.9,29.0,Secret Level
MX vs. ATV Untamed,Wii,Racing,THQ,0.31,18-Feb-08,70.0,7.0,8.6,7.0,Rainbow Studios
Golden Axe: Beast Rider,PS3,Action,Sega,0.31,14-Oct-08,44.0,30.0,5.1,18.0,Secret Level
Disney Sing It,PS3,Misc,Disney Interactive Studios,0.31,21-Oct-08,54.0,11.0,3.5,6.0,Zoe Mode
The Incredible Hulk,Wii,Action,Sega,0.3,5-Jun-08,46.0,21.0,tbd,,Edge of Reality
FIFA Street 3,PS3,Sports,Electronic Arts,0.29,18-Feb-08,63.0,37.0,7.1,16.0,EA Canada
Major League Baseball 2K8,PS3,Sports,Bethesda Softworks,0.29,3-Mar-08,67.0,23.0,5.6,8.0,Kush Games
Turning Point: Fall of Liberty,X360,Shooter,Codemasters,0.28,26-Feb-08,43.0,45.0,6.8,80.0,Spark Unlimited
The Club,X360,Shooter,Sega,0.26,19-Feb-08,76.0,63.0,6.7,38.0,Bizarre Creations
AC/DC LIVE: Rock Band Track Pack,Wii,Misc,MTV Games,0.26,16-Nov-08,,,7.2,5.0,Harmonix Music Systems
NASCAR 09,X360,Racing,Electronic Arts,0.25,10-Jun-08,69.0,32.0,7.8,15.0,EA Games
FIFA Street 3,X360,Sports,Electronic Arts,0.25,18-Feb-08,63.0,48.0,7.1,16.0,EA Canada
The Incredible Hulk,X360,Action,Sega,0.24,5-Jun-08,55.0,42.0,6.3,23.0,Edge of Reality
NASCAR 09,PS3,Racing,Electronic Arts,0.24,10-Jun-08,65.0,22.0,7.4,8.0,EA Games
The Incredible Hulk,PS3,Action,Sega,0.24,5-Jun-08,55.0,26.0,7.1,16.0,Edge of Reality
Bolt,X360,Adventure,Disney Interactive Studios,0.23,18-Nov-08,57.0,18.0,7.3,6.0,Avalanche Software
Madagascar: Escape 2 Africa,X360,Action,Activision,0.23,4-Nov-08,62.0,23.0,tbd,,Toys for Bob
PDC World Championship Darts 2008,Wii,Sports,Oxygen Interactive,0.23,16-Jun-09,51.0,18.0,5.4,7.0,Oxygen Interactive
Turning Point: Fall of Liberty,PS3,Shooter,Codemasters,0.23,26-Feb-08,42.0,28.0,5.5,30.0,Spark Unlimited
AC/DC LIVE: Rock Band Track Pack,PS3,Misc,MTV Games,0.22,2-Nov-08,60.0,12.0,4.9,12.0,Harmonix Music Systems
NCAA Football 09,PSP,Sports,Electronic Arts,0.22,15-Jul-08,,,tbd,,EA Canada
Madagascar: Escape 2 Africa,PS3,Action,Activision,0.22,4-Nov-08,58.0,13.0,tbd,,Toys for Bob
Rock Band Track Pack Volume 2,Wii,Misc,MTV Games,0.22,,,,,,
AC/DC LIVE: Rock Band Track Pack,X360,Misc,MTV Games,0.21,2-Nov-08,63.0,16.0,4.4,7.0,Harmonix Music Systems
The Club,PS3,Shooter,Sega,0.2,19-Feb-08,72.0,42.0,6.5,15.0,Bizarre Creations
NCAA Basketball 09,X360,Sports,Electronic Arts,0.2,17-Nov-08,70.0,23.0,5.6,8.0,EA Canada
Warriors Orochi,PSP,Action,Tecmo Koei,0.2,25-Mar-08,62.0,13.0,8.7,6.0,"Omega Force, Koei Canada"
The Spiderwick Chronicles,Wii,Action,Vivendi Games,0.19,5-Feb-08,62.0,13.0,tbd,,Stormfront Studios
Record of Agarest War,X360,Role-Playing,Compile Heart,0.18,27-Apr-10,71.0,7.0,7.5,32.0,Compile Heart
Bolt,PS3,Adventure,Disney Interactive Studios,0.18,18-Nov-08,59.0,11.0,tbd,,Avalanche Software
NBA Ballers: Chosen One,X360,Sports,Midway Games,0.18,21-Apr-08,55.0,42.0,4.2,15.0,Midway
FaceBreaker,X360,Fighting,Electronic Arts,0.18,5-Sep-08,54.0,57.0,7.5,15.0,EA Canada
Armored Core: For Answer,PS3,Simulation,Ubisoft,0.17,16-Sep-08,62.0,22.0,8,23.0,From Software
Rapala Fishing Frenzy 2009,PS3,Sports,Activision,0.17,2-Sep-08,31.0,4.0,4.4,9.0,FUN Labs
FaceBreaker,PS3,Fighting,Electronic Arts,0.16,3-Sep-08,53.0,37.0,4.1,17.0,EA Canada
NCAA Basketball 09,PS3,Sports,Electronic Arts,0.15,17-Nov-08,68.0,17.0,tbd,,EA Canada
Rock Band Track Pack Volume 2,X360,Misc,MTV Games,0.15,17-Nov-08,,,tbd,,Harmonix Music Systems
Armored Core: For Answer,X360,Simulation,Ubisoft,0.14,16-Sep-08,64.0,22.0,7.9,32.0,From Software
Major League Baseball 2K8,Wii,Sports,Take-Two Interactive,0.13,3-Mar-08,63.0,10.0,7.4,15.0,2K Sports
Hellboy: The Science of Evil,PS3,Action,Konami Digital Entertainment,0.13,24-Jun-08,47.0,23.0,6.3,7.0,Krome Studios
NFL Head Coach 09,PS3,Sports,Electronic Arts,0.13,3-Sep-08,64.0,12.0,7.1,12.0,EA Tiburon
428: Fuusa Sareta Shibuya de,Wii,Adventure,Sega,0.13,,,,,,
Obscure: The Aftermath,Wii,Adventure,Playlogic Game Factory,0.12,25-Mar-08,53.0,19.0,7.7,11.0,Hydravision
SCORE International Baja 1000: The Official Game,X360,Racing,Activision,0.11,,,,,,
Rock Band Track Pack Volume 2,PS3,Misc,MTV Games,0.11,17-Nov-08,,,tbd,,Harmonix Music Systems
NBA Ballers: Chosen One,PS3,Sports,Midway Games,0.11,21-Apr-08,54.0,23.0,6.5,4.0,Midway
Pinball Hall of Fame: The Williams Collection,PSP,Misc,System 3 Arcade Software,0.11,26-Feb-08,78.0,4.0,tbd,,Farsight Studios
Hellboy: The Science of Evil,X360,Action,Konami Digital Entertainment,0.1,24-Jun-08,44.0,31.0,5.1,8.0,Krome Studios
Karaoke Revolution Presents American Idol Encore 2,PS3,Misc,Konami Digital Entertainment,0.1,18-Nov-08,,,tbd,,Blitz Games
NFL Head Coach 09,X360,Sports,Electronic Arts,0.1,3-Sep-08,67.0,14.0,8.7,26.0,EA Tiburon
Tom Clancy's EndWar,PSP,Strategy,Ubisoft,0.1,4-Nov-08,68.0,7.0,5.3,6.0,Funatics Software
The Spiderwick Chronicles,X360,Action,Vivendi Games,0.1,5-Feb-08,59.0,40.0,tbd,,Stormfront Studios
SCORE International Baja 1000: The Official Game,Wii,Racing,Activision,0.1,,,,,,
Karaoke Revolution Presents American Idol Encore 2,X360,Misc,Konami Digital Entertainment,0.09,18-Nov-08,,,tbd,,Blitz Games
Monster Jam: Urban Assault,PSP,Racing,Activision,0.08,28-Oct-08,,,tbd,,Torus Games
Jumper: Griffin's Story,Wii,Action,Eidos Interactive,0.08,12-Feb-08,28.0,5.0,2.5,11.0,Collision Studios
Guilty Gear XX Accent Core Plus,PSP,Fighting,PQube,0.08,7-Apr-09,,,8.3,4.0,Arc System Works
Harvey Birdman: Attorney at Law,Wii,Adventure,Capcom,0.08,8-Jan-08,60.0,28.0,7.8,4.0,High Voltage Software
Harvey Birdman: Attorney at Law,PSP,Adventure,Capcom,0.07,8-Jan-08,62.0,19.0,9.2,6.0,High Voltage Software
SCORE International Baja 1000: The Official Game,PS3,Racing,Activision,0.06,,,,,,
Jumper: Griffin's Story,X360,Action,Eidos Interactive,0.05,12-Feb-08,29.0,16.0,3.3,27.0,Red Tribe
Samurai Shodown Anthology,Wii,Fighting,Ignition Entertainment,0.05,14-Apr-09,74.0,6.0,tbd,,SNK Playmore
Rapala Fishing Frenzy 2009,X360,Sports,Activision,0.04,2-Sep-08,41.0,5.0,6.6,5.0,FUN Labs
Hail to the Chimp,X360,Misc,Gamecock,0.04,2-Jul-08,52.0,23.0,6.1,7.0,Wideload Games Inc.
Hail to the Chimp,PS3,Misc,Gamecock,0.04,30-Jun-08,51.0,19.0,tbd,,Wideload Games Inc.
Hellboy: The Science of Evil,PSP,Action,Konami Digital Entertainment,0.04,24-Jun-08,42.0,14.0,7.3,12.0,Krome Studios
Clannad,PSP,Adventure,Prototype,0.04,,,,,,
Clannad,X360,Adventure,Prototype,0.03,,,,,,
Bomberman,Wii,Puzzle,Hudson Entertainment,0.01,,,,,,
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,13.17,10-Nov-09,94.0,100.0,6.1,2456.0,Infinity Ward
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,10.31,10-Nov-09,94.0,67.0,6,1749.0,Infinity Ward
Final Fantasy XIII,PS3,Role-Playing,Square Enix,5.1,9-Mar-10,83.0,83.0,7.6,1961.0,Square Enix
FIFA Soccer 10,PS3,Sports,Electronic Arts,3.55,20-Oct-09,91.0,56.0,7.6,167.0,EA Sports
Borderlands,X360,Shooter,Take-Two Interactive,3.23,20-Oct-09,84.0,83.0,8.3,612.0,Gearbox Software
Tekken 6,PS3,Fighting,Namco Bandai Games,2.61,27-Oct-09,79.0,63.0,7.3,158.0,Namco Bandai Games
FIFA Soccer 10,X360,Sports,Electronic Arts,2.58,20-Oct-09,90.0,63.0,7.6,112.0,EA Sports
LittleBigPlanet,PSP,Platform,Sony Computer Entertainment,2.42,17-Nov-09,87.0,68.0,7.8,75.0,"Media Molecule, SCE/WWS"
Grand Theft Auto: Episodes from Liberty City,X360,Adventure,Take-Two Interactive,2.39,29-Oct-09,,,8.2,33.0,Rockstar North
Pro Evolution Soccer 2010,PS3,Sports,Konami Digital Entertainment,2.26,3-Nov-09,78.0,42.0,6.6,65.0,Konami
Monster Hunter Tri,Wii,Role-Playing,Nintendo,2.15,20-Apr-10,84.0,70.0,8.8,181.0,Capcom
Street Fighter IV,PS3,Fighting,Capcom,2.08,17-Feb-09,94.0,61.0,7.3,251.0,Capcom
Borderlands,PS3,Shooter,Take-Two Interactive,1.9,20-Oct-09,83.0,58.0,8,338.0,Gearbox Software
Cabela's Big Game Hunter 2010,Wii,Sports,Activision Value,1.68,29-Sep-09,,,7.8,4.0,Activision
Street Fighter IV,X360,Fighting,Capcom,1.68,17-Feb-09,93.0,77.0,7.3,256.0,Capcom
Guitar Hero 5,Wii,Misc,Activision,1.5,1-Sep-09,89.0,25.0,6.8,41.0,Vicarious Visions
Disney Sing It: Pop Hits,Wii,Misc,Disney Interactive Studios,1.46,6-Oct-09,,,tbd,,Zoe Mode
Fight Night Round 4,PS3,Fighting,Electronic Arts,1.46,23-Jun-09,88.0,47.0,7.6,85.0,EA Canada
Fight Night Round 4,X360,Fighting,Electronic Arts,1.36,23-Jun-09,87.0,77.0,8,79.0,EA Canada
[Prototype],X360,Action,Activision,1.27,9-Jun-09,78.0,83.0,7.9,327.0,Radical Entertainment
Tekken 6,X360,Fighting,Namco Bandai Games,1.23,27-Oct-09,80.0,60.0,7,109.0,Namco Bandai Games America
[Prototype],PS3,Action,Activision,1.19,9-Jun-09,79.0,53.0,7.8,271.0,Radical Entertainment
WWE SmackDown vs. Raw 2010,PS3,Fighting,THQ,1.14,20-Oct-09,81.0,38.0,8.1,38.0,Yuke's
FIFA Soccer 10,PSP,Sports,Electronic Arts,1.13,20-Oct-09,83.0,9.0,7.8,13.0,EA Sports
Bayonetta,PS3,Action,Sega,1.12,5-Jan-10,87.0,54.0,7.8,237.0,Nex Entertainment
Guitar Hero 5,X360,Misc,Activision,1.08,1-Sep-09,85.0,69.0,6.7,100.0,Neversoft Entertainment
Tiger Woods PGA Tour 10,Wii,Sports,Electronic Arts,1.05,8-Jun-09,88.0,44.0,8.8,56.0,EA Tiburon
Guitar Hero 5,PS3,Misc,Activision,1.03,1-Sep-09,86.0,54.0,5.7,73.0,Neversoft Entertainment
DJ Hero,X360,Misc,Activision,1.02,27-Oct-09,84.0,72.0,8.4,37.0,FreeStyleGames
WWE SmackDown vs. Raw 2010,X360,Fighting,THQ,1.02,20-Oct-09,80.0,59.0,8.4,30.0,Yuke's
FIFA Soccer 10,Wii,Sports,Electronic Arts,0.97,20-Oct-09,75.0,21.0,6.5,16.0,EA Sports
DiRT 2,PS3,Racing,Codemasters,0.95,8-Sep-09,87.0,63.0,8,71.0,Codemasters
Band Hero,Wii,Misc,Activision,0.93,3-Nov-09,79.0,20.0,7.3,12.0,Vicarious Visions
Tony Hawk: RIDE,Wii,Sports,Activision,0.93,17-Nov-09,47.0,15.0,4.5,21.0,Buzz Monkey
Guitar Hero: Metallica,Wii,Misc,Activision,0.91,29-Mar-09,85.0,20.0,8.3,12.0,Neversoft Entertainment
Operation Flashpoint: Dragon Rising,X360,Shooter,Codemasters,0.9,6-Oct-09,77.0,47.0,7.8,102.0,Codemasters
Bayonetta,X360,Action,Sega,0.88,5-Jan-10,90.0,86.0,7.9,458.0,PlatinumGames
Operation Flashpoint: Dragon Rising,PS3,Shooter,Codemasters,0.88,6-Oct-09,76.0,42.0,6.4,48.0,Codemasters
Marvel: Ultimate Alliance 2,X360,Role-Playing,Activision,0.87,15-Sep-09,73.0,75.0,7.1,67.0,Vicarious Visions
F1 2009,Wii,Racing,Codemasters,0.85,16-Nov-09,69.0,29.0,7.4,29.0,Sumo Digital
DJ Hero,PS3,Misc,Activision,0.85,27-Oct-09,86.0,53.0,7.8,48.0,FreeStyleGames
Ghostbusters: The Video Game,Wii,Action,Atari,0.84,16-Jun-09,76.0,29.0,8.3,23.0,Red Fly Studio
Red Faction: Guerrilla,X360,Shooter,THQ,0.83,2-Jun-09,85.0,84.0,8.1,207.0,Volition Inc.
Ninja Gaiden Sigma 2,PS3,Action,Ubisoft Annecy,0.8,29-Sep-09,83.0,52.0,7.7,81.0,Team Ninja
Pro Evolution Soccer 2010,PSP,Sports,Konami Digital Entertainment,0.8,10-Nov-09,72.0,9.0,4.3,4.0,Konami
Pro Evolution Soccer 2010,X360,Sports,Konami Digital Entertainment,0.79,3-Nov-09,78.0,34.0,7.7,23.0,Konami
Ghostbusters: The Video Game,PS3,Action,Sony Computer Entertainment,0.78,16-Jun-09,78.0,74.0,7.9,70.0,Terminal Reality
DiRT 2,X360,Racing,Codemasters,0.77,8-Sep-09,87.0,65.0,8.1,94.0,Codemasters
Guitar Hero: Metallica,X360,Misc,Activision,0.76,29-Mar-09,84.0,62.0,8.1,66.0,Neversoft Entertainment
Tiger Woods PGA Tour 10,PS3,Sports,Electronic Arts,0.76,8-Jun-09,81.0,38.0,7.4,8.0,EA Tiburon
Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts,0.73,30-Jun-09,60.0,35.0,6.3,6.0,EA Bright Light
DJ Hero,Wii,Misc,Activision,0.73,27-Oct-09,87.0,22.0,7.6,19.0,FreeStyleGames
Band Hero,X360,Misc,Activision,0.72,3-Nov-09,76.0,52.0,5,29.0,Neversoft Entertainment
X-Men Origins: Wolverine - Uncaged Edition,PS3,Action,Activision,0.72,,,,,,
Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai Games,0.71,10-Nov-09,57.0,26.0,7.4,49.0,Spike
Indiana Jones and the Staff of Kings,Wii,Action,Activision,0.7,9-Jun-09,55.0,32.0,7,26.0,Artificial Mind and Movement
MLB 09: The Show,PS3,Sports,Sony Computer Entertainment,0.7,3-Mar-09,90.0,27.0,8.1,57.0,SCEA San Diego Studios
Red Faction: Guerrilla,PS3,Shooter,THQ,0.7,2-Jun-09,85.0,56.0,8.1,114.0,Volition Inc.
WWE SmackDown vs. Raw 2010,Wii,Fighting,THQ,0.7,20-Oct-09,78.0,11.0,8,7.0,Yuke's
The Lord of the Rings: Conquest,PS3,Action,Electronic Arts,0.69,13-Jan-09,54.0,45.0,6.8,46.0,Pandemic Studios
Marvel: Ultimate Alliance 2,PS3,Role-Playing,Activision,0.69,15-Sep-09,74.0,48.0,7.1,38.0,Vicarious Visions
