nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Michael Jackson: The Experience,X360,Misc,Ubisoft,0.79,12-Apr-11,63.0,31.0,6.2,24.0,Ubisoft Montreal
Back to the Future: The Game,PS3,Adventure,Telltale Games,0.06,25-Oct-11,66.0,5.0,6.7,24.0,Telltale Games
Hannah Montana: The Movie,Wii,Adventure,Disney Interactive Studios,0.34,7-Apr-09,,,tbd,,n-Space
Lego City Undercover,3DS,Action,Nintendo,0.96,21-Apr-13,62.0,44.0,6.4,48.0,Traveller's Tales
Winter Sports 3: The Great Tournament,Wii,Sports,Tradewest,0.04,,,,,,
Driver '76,PSP,Racing,Ubisoft,0.23,8-May-07,57.0,28.0,7.6,14.0,Sumo Digital
Action Girlz Racing,Wii,Racing,Metro 3D,0.01,29-Jan-08,,,1.7,19.0,Data Design Interactive
FIFA Soccer 11,PS3,Sports,Electronic Arts,5.0,28-Sep-10,89.0,51.0,8.1,197.0,EA Sports
Madden NFL 07,PS3,Sports,Electronic Arts,0.51,14-Nov-06,76.0,25.0,4.2,18.0,EA Tiburon
UFC Undisputed 3,PS3,Fighting,THQ,0.92,14-Feb-12,86.0,30.0,7.4,68.0,Yuke's
Let's Dance with Mel B,PS3,Sports,Black Bean Games,0.01,,,,,,
Skylanders SWAP Force,XOne,Platform,Activision,0.12,19-Nov-13,,,6.5,30.0,"Vicarious Visions, Vicarious Visions"
Bionic Commando,X360,Platform,Capcom,0.27,18-May-09,70.0,65.0,7.5,79.0,GRIN
X-Men: Destiny,X360,Action,Activision,0.22,27-Sep-11,47.0,51.0,5.1,66.0,Silicon Knights
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,Racing,Sega,0.61,,,,,,
Spider-Man: Friend or Foe,Wii,Action,Activision,0.14,2-Oct-07,59.0,29.0,8,6.0,Next Level Games
AKB1/48: Idol to Guam de Koishitara...,X360,Misc,,0.01,,,,,,
God of War: Chains of Olympus,PSP,Action,Sony Computer Entertainment,3.13,4-Mar-08,91.0,79.0,8.8,439.0,Ready at Dawn
Thrillville,PSP,Strategy,Atari,0.2,21-Nov-06,72.0,13.0,7.4,15.0,Frontier Developments
Norn9: Norn + Nonette,PSP,Adventure,Idea Factory,0.03,,,,,,
Professor Layton vs Ace Attorney,3DS,Adventure,Level 5,0.3,TBA 2014,,,,,Level 5
Dynasty Warriors Vs,3DS,Action,Ackkstudios,0.06,Canceled,,,,,Koei
Medabots Dual: Kabuto / Kuwagata,3DS,Role-Playing,Rocket Company,0.05,,,,,,
Power Gig: Rise of the SixString,PS3,Misc,Unknown,0.13,19-Oct-10,36.0,10.0,tbd,,Seven45 Studios
Journey,PS3,Adventure,Sony Computer Entertainment Europe,0.1,13-Mar-12,92.0,78.0,8.7,985.0,ThatGameCompany
Medal of Honor,PS3,Shooter,Electronic Arts,2.71,12-Oct-10,75.0,56.0,7.6,235.0,"Danger Close, EA DICE"
Fragile Dreams: Farewell Ruins of the Moon,Wii,Role-Playing,Rising Star Games,0.33,16-Mar-10,67.0,41.0,8.3,52.0,Tri-Crescendo
SAW,X360,Action,Konami Digital Entertainment,0.27,6-Oct-09,59.0,39.0,7.4,41.0,Zombie
Gloria Union,PSP,Role-Playing,Atlus,0.03,,,,,,
Great Party Games,Wii,Misc,O-Games,0.07,,,,,,
PDC World Championship Darts 2008,Wii,Sports,Oxygen Interactive,0.23,16-Jun-09,51.0,18.0,5.4,7.0,Oxygen Interactive
Transformers: Fall of Cybertron,PS3,Action,Activision,0.28,21-Aug-12,77.0,32.0,8.1,67.0,High Moon Studios
Bleach: Heat the Soul,PSP,Fighting,Sony Computer Entertainment,0.09,,,,,,
Mega Man Maverick Hunter X,PSP,Platform,Capcom,0.29,31-Jan-06,79.0,34.0,8.8,27.0,Capcom
Call of Duty: World at War,PS3,Shooter,Activision,5.11,10-Nov-08,85.0,45.0,7.3,289.0,Treyarch
Resident Evil: Operation Raccoon City,X360,Shooter,Capcom,0.68,20-Mar-12,52.0,56.0,4.9,285.0,Slant Six
Skylanders SWAP Force,WiiU,Platform,Activision,0.23,13-Oct-13,89.0,7.0,5.7,65.0,Vicarious Visions
Ferrari: The Race Experience,Wii,Racing,System 3 Arcade Software,0.01,TBA,54.0,4.0,,,System 3
Brunswick Pro Bowling,Wii,Sports,505 Games,0.37,28-Aug-07,52.0,11.0,5.4,23.0,Point of View
Doom 3 BFG Edition,PS3,Shooter,Bethesda Softworks,0.43,16-Oct-12,67.0,16.0,5.8,80.0,id Software
Metro: Last Light,PS3,Shooter,Deep Silver,0.29,14-May-13,80.0,23.0,8.4,407.0,4A Games
Labyrinth Cross Blood: Infinity,PSV,Role-Playing,CyberFront,0.03,,,,,,
Mortal Kombat: Unchained,PSP,Fighting,Midway Games,0.71,15-Nov-06,70.0,19.0,8.8,23.0,JGI Entertainment
NBA 2K6,X360,Action,Take-Two Interactive,0.23,16-Nov-05,81.0,33.0,8.6,30.0,Visual Concepts
The Legend of Heroes VI: Sora no Kiseki Second Chapter,PSP,Role-Playing,Falcom Corporation,0.06,,,,,,
Senran Kagura Shinovi Versus: Shoujotachi no Shoumei,PSV,Action,Marvelous Entertainment,0.16,,,,,,
Me & My Katamari,PSP,Puzzle,Namco Bandai Games,0.21,,,,,,
Tiger Woods PGA Tour 09,PS3,Sports,Electronic Arts,0.64,26-Aug-08,82.0,34.0,7.2,9.0,EA Tiburon
LEGO The Lord of the Rings,3DS,Action,Warner Bros. Interactive Entertainment,0.23,30-Oct-12,61.0,4.0,6.4,5.0,TT Games
Fit in Six,Wii,Sports,Ubisoft,0.1,15-Mar-11,,,tbd,,Blue Byte
Last Escort: Club Katze,PSP,Adventure,D3Publisher,0.03,,,,,,
G.I. Joe: The Rise of Cobra,X360,Action,Electronic Arts,0.22,4-Aug-09,42.0,59.0,4.7,20.0,Double Helix Games
Heavy Fire: Afghanistan,PS3,Shooter,Unknown,0.14,18-Nov-11,39.0,5.0,3.8,10.0,Teyon
Blazing Angels: Squadrons of WWII,X360,Simulation,Ubisoft,0.4,23-Mar-06,66.0,58.0,7.9,52.0,Ubisoft
Need for Speed: Most Wanted - A Criterion Game,PS3,Racing,Electronic Arts,2.28,,,,,,
NBA 2K12,X360,Sports,Take-Two Interactive,2.52,4-Oct-11,90.0,42.0,7.7,117.0,Visual Concepts
Mathews Bowhunting,Wii,Sports,Zoo Games,0.18,19-Oct-10,,,tbd,,Zoo Games
Pocket Soccer League: Calciobit,3DS,Action,Nintendo,0.1,,,,,,
WRC 2: FIA World Rally Championship,PS3,Racing,Ubisoft,0.15,,,,,,
Family Guy: Back to the Multiverse,PS3,Action,Activision,0.16,20-Nov-12,40.0,9.0,6.3,20.0,Heavy Iron Studios
Zyuden Sentai Kyoryuger: Game de Gaburincho!!,3DS,Action,Namco Bandai Games,0.04,,,,,,
Winning Post 7 2013,PSV,Sports,Tecmo Koei,0.01,,,,,,
Cabela's Dangerous Hunts 2011,X360,Sports,Activision,0.29,19-Oct-10,55.0,7.0,tbd,,Activision
FIFA Soccer 09,PSP,Sports,Electronic Arts,1.32,13-Oct-08,84.0,8.0,8.9,21.0,EA Canada
Blood Drive,X360,Racing,Activision,0.1,2-Nov-10,40.0,21.0,5.9,7.0,Sidhe Interactive
Cabela's Survival: Shadows of Katmai,X360,Sports,Activision,0.15,1-Nov-11,,,3.8,5.0,Activision
Chaotic: Shadow Warriors,PS3,Action,Activision,0.13,10-Nov-09,,,tbd,,FUN Labs
Konami Classics Vol. 2,X360,Misc,Konami Digital Entertainment,0.01,15-Dec-09,,,tbd,,Konami
Tenchu Z,X360,Action,Microsoft Game Studios,0.32,12-Jun-07,56.0,51.0,7.3,49.0,K2 LLC
Blade Dancer: Lineage of Light,PSP,Role-Playing,Atari,0.06,18-Jul-06,60.0,33.0,6.7,15.0,Hit Maker
Suzumiya Haruhi no Tsuisou,PS3,Adventure,Namco Bandai Games,0.03,,,,,,
Just Dance 2: Extra Songs,Wii,Misc,Ubisoft,0.18,,,,,,
Super Mario 3D Land,3DS,Platform,Nintendo,9.28,13-Nov-11,90.0,82.0,8.2,576.0,Nintendo
Final Fantasy XI: Vana'diel Collection 2008,X360,Role-Playing,Square Enix,0.15,20-Nov-07,,,tbd,,Square Enix
Ridge Racer Unbounded,X360,Racing,Namco Bandai Games,0.08,27-Mar-12,71.0,59.0,7.7,52.0,Bugbear
Birds of Steel,X360,Simulation,Konami Digital Entertainment,0.09,13-Mar-12,77.0,18.0,8.8,17.0,Gaijin Entertainment
Donkey Kong Barrel Blast,Wii,Racing,Nintendo,0.61,8-Oct-07,46.0,34.0,6.9,18.0,Paon Corporation
Starhawk,PS3,Action,Sony Computer Entertainment,0.25,8-May-12,77.0,71.0,7.8,168.0,LightBox Interactive
Harry Potter and the Deathly Hallows - Part 2,X360,Action,Electronic Arts,0.29,12-Jul-11,44.0,31.0,5.2,19.0,EA Bright Light
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,PSP,Misc,Daito,0.03,,,,,,
Guilty Gear 2: Overture,X360,Fighting,505 Games,0.01,7-Oct-08,56.0,12.0,6.5,4.0,Arc System Works
Medieval Moves: Deadmund's Quest,PS3,Action,Sony Computer Entertainment,0.22,15-Nov-11,61.0,41.0,6.6,16.0,Zindagi Games
Dynasty Warriors,PSP,Action,Tecmo Koei,0.51,16-Mar-05,62.0,26.0,8,19.0,Koei
X-Men: The Official Game,X360,Action,Activision,0.16,16-May-06,52.0,57.0,5.1,16.0,"Z-Axis, Ltd."
Scooby-Doo! First Frights,Wii,Adventure,Warner Bros. Interactive Entertainment,0.86,,,,,,
Skate,X360,Sports,Electronic Arts,0.69,14-Sep-07,86.0,59.0,8.4,124.0,EA Black Box
R-Type Command (correct US sales),PSP,Strategy,Rising Star Games,0.04,,,,,,
UFC Personal Trainer: The Ultimate Fitness System,X360,Sports,THQ,0.7,28-Jun-11,70.0,36.0,6.4,16.0,THQ
FIFA 07 Soccer,PSP,Sports,Electronic Arts,1.2,17-Oct-06,80.0,15.0,9.1,22.0,EA Sports
Detective Opera: Milky Holmes 2,PSP,Adventure,BushiRoad,0.03,,,,,,
Samurai Shodown Sen,X360,Fighting,Rising Star Games,0.06,30-Mar-10,46.0,33.0,5.3,7.0,K2 LLC
Horse Life Adventures,Wii,Simulation,Deep Silver,0.12,18-Sep-10,,,tbd,,Neko Entertainment
The Munchables,Wii,Action,Namco Bandai Games,0.18,26-May-09,71.0,33.0,8.2,5.0,Now Production
WSC REAL 09: World Snooker Championship,X360,Sports,Deep Silver,0.01,,,,,,
Namco Museum: Virtual Arcade,X360,Misc,Atari,0.29,4-Nov-08,63.0,16.0,tbd,,Namco Bandai Games
Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,PSP,Shooter,Namco Bandai Games,0.12,,,,,,
Pro Evolution Soccer 2011 3D,3DS,Sports,Konami Digital Entertainment,0.35,25-Mar-11,73.0,43.0,6.5,15.0,Konami
Nisenochigiri: Omoide no Saki e,PSP,Adventure,Idea Factory,0.03,,,,,,
Alan Wake,X360,Action,Microsoft Game Studios,1.25,18-May-10,83.0,100.0,8,939.0,Remedy Entertainment
FaceBreaker,PS3,Fighting,Electronic Arts,0.16,3-Sep-08,53.0,37.0,4.1,17.0,EA Canada
Alice in Wonderland,Wii,Adventure,Disney Interactive Studios,0.48,2-Mar-10,69.0,18.0,7.5,11.0,Etranges Libellules
Utawarerumono Portable,PSP,Role-Playing,Aqua Plus,0.03,,,,,,
Marvel Super Hero Squad: The Infinity Gauntlet,X360,Action,THQ,0.12,16-Nov-10,55.0,10.0,5.6,5.0,THQ
Quake 4,X360,Shooter,Activision,0.34,18-Nov-05,75.0,52.0,6.7,68.0,Raven Software
JASF: Jane's Advanced Strike Fighters,X360,Simulation,Deep Silver,0.07,18-Oct-11,45.0,5.0,4.3,6.0,Trickstar Games
Hakuoki: Demon of the Fleeting Blossom,PSP,Adventure,Idea Factory,0.08,14-Feb-12,79.0,4.0,8.5,26.0,Idea Factory
Lego Marvel Super Heroes,XOne,Action,Warner Bros. Interactive Entertainment,0.27,22-Nov-13,,,7.3,41.0,TT Games
Boogie,Wii,Misc,Electronic Arts,0.46,7-Aug-07,57.0,37.0,5.3,54.0,EA Montreal
Tekken Tag Tournament 2,X360,Fighting,Namco Bandai Games,0.29,11-Sep-12,83.0,35.0,7.1,54.0,Namco Bandai Games
Cabela's North American Adventures,PS3,Sports,Activision,0.1,14-Sep-10,,,tbd,,FUN Labs
Kamen Rider: Climax Heroes OOO,PSP,Fighting,Namco Bandai Games,0.12,,,,,,
The Warriors,PSP,Action,Take-Two Interactive,0.26,12-Feb-07,81.0,36.0,8.4,15.0,"Rockstar Toronto, Rockstar Leeds"
MLB 11: The Show,PSP,Sports,Sony Computer Entertainment,0.13,8-Mar-11,77.0,9.0,tbd,,SCEA San Diego Studios
Derby Stallion P,PSP,Sports,Enterbrain,0.1,,,,,,
Hanasaku Manimani,PSP,Adventure,5pb,0.01,,,,,,
Sonic Unleashed,X360,Platform,Sega,0.88,20-Nov-08,60.0,50.0,7.6,134.0,Sonic Team
Princess Frontier Portable,PSP,Adventure,Alchemist,0.02,,,,,,
Dissidia: Final Fantasy,PSP,Fighting,Square Enix,2.19,25-Aug-09,79.0,61.0,7.8,92.0,Square Enix
No More Heroes 2: Desperate Struggle,Wii,Action,Rising Star Games,0.37,26-Jan-10,84.0,68.0,8.8,158.0,Grasshopper Manufacture
Ben 10 Galactic Racing,PSV,Racing,D3Publisher,0.03,15-Feb-12,,,3.3,7.0,Monkey Bar Games
MLB 12: The Show,PSV,Sports,Sony Computer Entertainment,0.16,6-Mar-12,76.0,15.0,8,39.0,SCEA San Diego Studios
Rayman Origins,3DS,Platform,Ubisoft,0.08,6-Nov-12,71.0,8.0,6.1,41.0,UBlart Montpellier
Call of Juarez: The Cartel,PS3,Shooter,Ubisoft,0.23,19-Jul-11,45.0,42.0,5.7,69.0,Techland
MAG: Massive Action Game,PS3,Shooter,Sony Computer Entertainment,1.3,,,,,,
"Asaki, Yumemishi",PSP,Adventure,Quinrose,0.01,,,,,,
Bust-A-Move Universe,3DS,Puzzle,Square Enix,0.27,27-Mar-11,49.0,30.0,5.3,12.0,Arika
The First Templar,X360,Action,Kalypso Media,0.08,17-May-11,52.0,21.0,5.9,20.0,Haemimont
Detective Conan: Marionette Symphony,3DS,Adventure,Namco Bandai Games,0.04,,,,,,
Deepak Chopra's Leela,X360,Misc,THQ,0.07,8-Nov-11,,,tbd,,Curious Pictures
Suzumiya Haruhi no Gekidou,Wii,Adventure,Kadokawa Shoten,0.07,,,,,,
Book of Spells,PS3,Action,Sony Computer Entertainment,0.52,,,,,,
Ninja Gaiden 3,WiiU,Action,Nintendo,0.05,,,,,,
Military History: Commander - Europe at War,PSP,Strategy,Slitherine Software,0.01,6-Dec-10,,,tbd,,Slitherine
UFC Personal Trainer: The Ultimate Fitness System,PS3,Sports,THQ,0.14,28-Jun-11,65.0,8.0,tbd,,THQ
The Adventures of Tintin: The Game,X360,Action,Ubisoft,0.21,6-Dec-11,63.0,35.0,5.8,8.0,Ubisoft Montpellier
Driver: San Francisco,X360,Racing,Ubisoft,0.61,6-Sep-11,80.0,63.0,7.6,107.0,Ubisoft Reflections
Katekyoo Hitman Reborn! Battle Arena,PSP,Fighting,Marvelous Interactive,0.04,,,,,,
Get Up and Dance,Wii,Misc,O-Games,0.09,22-Nov-11,,,tbd,,Crave
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,Role-Playing,Gust,0.03,,,,,,
Rise of Nightmares,X360,Action,Sega,0.43,6-Sep-11,54.0,56.0,7.7,41.0,Sega
Sid Meier's Pirates!,PSP,Strategy,Take-Two Interactive,0.17,,,,,,
Innocent Life: A Futuristic Harvest Moon,PSP,Simulation,Rising Star Games,0.14,15-May-07,67.0,22.0,8.2,16.0,ArtePiazza
Vampire Rain,X360,Action,Microsoft Game Studios,0.19,3-Jul-07,38.0,45.0,2.6,36.0,Artoon
Rhythm Heaven,Wii,Misc,Unknown,0.84,13-Feb-12,83.0,56.0,8.6,36.0,Nintendo
Indiana Jones and the Staff of Kings,Wii,Action,Activision,0.7,9-Jun-09,55.0,32.0,7,26.0,Artificial Mind and Movement
Kinect: Disneyland Adventures,X360,Misc,Microsoft Game Studios,2.19,15-Nov-11,73.0,33.0,5.9,24.0,Frontier Developments
PopCap Hits!,X360,Misc,PopCap Games,0.01,,,,,,
HotBrain,PSP,Puzzle,Midway Games,0.02,,,,,,
LEGO Rock Band,Wii,Misc,Warner Bros. Interactive Entertainment,0.67,3-Nov-09,70.0,15.0,6.3,4.0,TT Fusion
Bomberman,Wii,Puzzle,Hudson Entertainment,0.01,,,,,,
Kiniro no Corda 2 f,PSP,Role-Playing,Tecmo Koei,0.04,,,,,,
Lost Planet: Extreme Condition,X360,Shooter,Capcom,1.31,12-Jan-07,79.0,76.0,7.1,161.0,Capcom
Samurai Dou Portable,PSP,Action,Spike,0.05,,,,,,
Farming Simulator 2013,X360,Action,Focus Home Interactive,0.18,19-Nov-13,33.0,12.0,5.7,23.0,Giants Software
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,Strategy,Namco Bandai Games,0.07,,,,,,
Monster Hunter Tri,3DS,Role-Playing,Nintendo,2.5,,,,,,
Surf's Up,X360,Sports,Ubisoft,0.1,30-May-07,61.0,15.0,6.1,9.0,Ubisoft
Toukiden,PSP,Action,Tecmo Koei,0.17,,,,,,
Marvel Super Hero Squad,PSP,Adventure,THQ,0.2,20-Oct-09,51.0,7.0,tbd,,THQ
Cabela's Big Game Hunter 2012,Wii,Sports,Activision,0.34,27-Sep-11,,,tbd,,Activision
Need for Speed: Hot Pursuit,PS3,Racing,Electronic Arts,2.6,16-Nov-10,89.0,59.0,7.1,229.0,Criterion Games
WWE '12,Wii,Fighting,THQ,0.32,22-Nov-11,74.0,6.0,5.1,8.0,Yuke's
DECA Sports Freedom,X360,Sports,Hudson Soft,0.27,18-Nov-10,26.0,16.0,3.5,6.0,Hudson Entertainment
Kamen Rider: Ultra Climax Heroes,PSP,Fighting,Namco Bandai Games,0.06,,,,,,
Guitar Hero: Smash Hits,PS3,Misc,Activision,0.31,16-Jun-09,73.0,34.0,7,7.0,Beenox
College Hoops 2K7,X360,Sports,Take-Two Interactive,0.19,20-Nov-06,82.0,22.0,8.9,10.0,2K Sports
Saigo no Yakusoku no Monogatari,PSP,Role-Playing,Unknown,0.11,,,,,,
Ice Age: Dawn of the Dinosaurs,PS3,Platform,Activision,0.15,30-Jun-09,67.0,23.0,6.8,4.0,Activision
Fishing Master,Wii,Misc,Konami Digital Entertainment,0.31,18-Sep-07,58.0,9.0,8.1,9.0,Hudson Soft
Yu-Gi-Oh! 5D's Tag Force 5,PSP,Strategy,Konami Digital Entertainment,0.32,,,,,,
SingStar Chartbreaker,PS3,Misc,Sony Computer Entertainment,0.02,,,,,,
NBA 2K9,X360,Sports,Take-Two Interactive,1.26,7-Oct-08,84.0,32.0,7.4,41.0,Visual Concepts
X-Men Legends II: Rise of Apocalypse,PSP,Role-Playing,Activision,0.28,18-Oct-05,84.0,30.0,8.6,38.0,Vicarious Visions
Darkstalkers Chronicle: The Chaos Tower,PSP,Fighting,Capcom,0.14,24-Mar-05,74.0,27.0,8.1,20.0,Capcom
Ringling Bros. and Barnum & Bailey Circus,Wii,Action,Take-Two Interactive,0.18,,,,,,
Bass Pro Shops: The Strike,Wii,Sports,XS Games,0.46,6-Oct-09,,,7.6,5.0,Piranha Games
Peter Jackson's King Kong: The Official Game of the Movie,X360,Action,Ubisoft,0.23,21-Nov-05,80.0,57.0,7.2,60.0,Ubisoft Montpellier
Memories Off 6: T-Wave,PSP,Adventure,5pb,0.01,,,,,,
F1 2011,PS3,Racing,Codemasters,1.14,20-Sep-11,82.0,36.0,7.2,50.0,Codemasters
Family Party: 90 Great Games Party Pack,Wii,Misc,D3Publisher,0.31,2-Nov-10,,,tbd,,D3Publisher
Root Double: Before Crime After Days,X360,Action,Yeti,0.01,,,,,,
Infernal: Hell's Vengeance,X360,Shooter,Playlogic Game Factory,0.07,30-Jun-09,35.0,23.0,4.5,8.0,Metropolis Software
Pastel Chime Continue,PSP,Adventure,5pb,0.02,,,,,,
Star Wars: The Force Unleashed,Wii,Action,LucasArts,1.8,16-Sep-08,71.0,18.0,8,67.0,Krome Studios
Monster Madness: Grave Danger,PS3,Shooter,SouthPeak Games,0.05,5-Aug-08,55.0,25.0,tbd,,Psyonix
Mortal Kombat,PSV,Fighting,Warner Bros. Interactive Entertainment,0.43,1-May-12,85.0,51.0,7.6,145.0,NetherRealm Studios
Samurai Warriors: State of War,PSP,Action,Tecmo Koei,0.18,7-Mar-06,64.0,30.0,6.8,5.0,Omega Force
WWE SmackDown vs Raw 2008,X360,Fighting,THQ,1.41,13-Nov-07,71.0,41.0,6.9,40.0,Yuke's
Frontlines: Fuel of War,X360,Shooter,THQ,0.53,25-Feb-08,75.0,55.0,7.8,71.0,Kaos Studios
F1 2012,PS3,Racing,Codemasters,0.88,18-Sep-12,81.0,23.0,7.6,43.0,Codemasters
NBA Live 08,PS3,Sports,Electronic Arts,0.62,1-Oct-07,73.0,28.0,6.8,10.0,EA Canada
Star Trek: Conquest,Wii,Strategy,Bethesda Softworks,0.12,20-Nov-07,49.0,18.0,4.9,11.0,4J Studios
Dead Space 2,PS3,Shooter,Electronic Arts,1.31,25-Jan-11,89.0,78.0,8.3,397.0,Visceral Games
Gran Turismo 5,PS3,Racing,Sony Computer Entertainment,10.86,24-Nov-10,84.0,82.0,7.5,962.0,Polyphony Digital
Crash of the Titans,Wii,Action,Vivendi Games,0.44,4-Oct-07,69.0,16.0,7,11.0,Radical Entertainment
Tak and the Guardians of Gross,Wii,Action,THQ,0.15,13-Oct-08,63.0,5.0,8,5.0,THQ
Star Trek: The Game,X360,Action,Namco Bandai Games,0.15,,,,,,
Taiko no Tatsujin Wii,Wii,Misc,Namco Bandai Games,0.67,,,,,,
Far Cry 2,PS3,Shooter,Ubisoft,1.32,21-Oct-08,85.0,49.0,6.6,179.0,Ubisoft Montreal
Brave: The Video Game,Wii,Action,Disney Interactive Studios,0.01,19-Jun-12,50.0,5.0,5.3,7.0,Disney Interactive Studios
Dragon Ball: Raging Blast,PS3,Fighting,Namco Bandai Games,0.71,10-Nov-09,57.0,26.0,7.4,49.0,Spike
Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,Misc,Namco Bandai Games,0.3,,,,,,
The Last of Us,PS3,Adventure,Sony Computer Entertainment Europe,4.28,14-Jun-13,95.0,98.0,9.1,5223.0,Naughty Dog
Rock Band 3,PS3,Misc,MTV Games,0.52,26-Oct-10,91.0,34.0,7.8,78.0,Harmonix Music Systems
PDC World Championship Darts 2008,PSP,Sports,Oxygen Interactive,0.01,16-Jun-09,43.0,7.0,tbd,,Oxygen Interactive
Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,3DS,Adventure,D3Publisher,0.03,,,,,,
Hyperdimension Neptunia Victory,PS3,Role-Playing,Compile Heart,0.12,21-Mar-13,55.0,19.0,8.1,57.0,"Compile Heart, Idea Factory"
Army Rescue,Wii,Shooter,UFO Interactive,0.02,20-Oct-09,,,tbd,,UFO Interactive
SSX,PS3,Sports,Electronic Arts,0.78,28-Feb-12,81.0,38.0,6.8,91.0,EA Canada
Ben 10 Alien Force: Vilgax Attacks,Wii,Action,D3Publisher,0.43,27-Oct-09,65.0,5.0,4,4.0,Papaya Studios
Romance of the Three Kingdoms (3DS),3DS,Strategy,Tecmo Koei,0.02,,,,,,
Pro Yakyuu Spirits 2012,PSP,Action,Konami Digital Entertainment,0.2,,,,,,
Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,Misc,Capcom,0.05,,,,,,
Planetarian: Chiisana Hoshi no Yume,PSP,Adventure,Prototype,0.02,,,,,,
Battle Princess of Arcadias,PS3,Role-Playing,Nippon Ichi Software,0.02,TBA 2014,,,,,ApolloSoft
BlazBlue: Calamity Trigger Portable,PSP,Fighting,PQube,0.1,10-Mar-10,82.0,14.0,8.4,12.0,Arc System Works
Ten Pin Alley 2,Wii,Sports,XS Games,0.02,22-Oct-08,30.0,4.0,tbd,,Other Ocean Interactive
FIFA Soccer 12,3DS,Sports,Electronic Arts,0.33,27-Sep-11,67.0,13.0,4.4,14.0,EA Sports
Backyard Baseball '09,Wii,Sports,Atari,0.04,10-Jun-08,37.0,4.0,7.8,5.0,Humongous Entertainment
Mega Man Powered Up,PSP,Platform,Capcom,0.12,14-Mar-06,82.0,28.0,8.2,26.0,Capcom
Heart no Kuni no Alice,PSP,Adventure,Prototype,0.01,,,,,,
Kokoro Connect: Yochi Random,PSP,Action,Namco Bandai Games,0.02,,,,,,
Romeo Vs. Juliet,PSP,Adventure,Quinrose,0.01,,,,,,
The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,6.92,19-Nov-06,95.0,73.0,9,1250.0,Nintendo
Inazuma Eleven Strikers,Wii,Role-Playing,Nintendo,0.26,28-Sep-12,59.0,16.0,8.8,6.0,Level 5
X-Men Origins: Wolverine - Uncaged Edition,X360,Action,Activision,0.67,,,,,,
NCAA Football 14,PS3,Sports,Electronic Arts,0.68,9-Jul-13,77.0,9.0,5.5,31.0,EA Tiburon
Battlefield 4,X360,Shooter,Electronic Arts,2.63,29-Oct-13,79.0,21.0,5.6,421.0,EA DICE
Prison Break: The Conspiracy,X360,Adventure,Deep Silver,0.19,1-Apr-10,40.0,37.0,4.4,15.0,ZootFly
Sid Meier's Civilization Revolution,PS3,Strategy,Take-Two Interactive,0.7,8-Jul-08,85.0,39.0,7.7,77.0,Firaxis Games
Legend of the Dragon,PSP,Fighting,Game Factory,0.03,29-May-07,38.0,12.0,tbd,,Neko Entertainment
LEGO The Lord of the Rings,PS3,Action,Warner Bros. Interactive Entertainment,0.78,13-Nov-12,82.0,16.0,8.4,58.0,TT Games
Bratz: Girlz Really Rock,Wii,Action,THQ,0.21,13-Oct-08,,,tbd,,Blitz Games
Warhammer: Battle March,X360,Strategy,Deep Silver,0.09,2-Sep-08,55.0,30.0,6.7,16.0,Black Hole Games
Trick x Logic: Season 2,PSP,Adventure,Sony Computer Entertainment,0.04,,,,,,
Transformers: Prime,Wii,Action,Activision,0.01,,,,,,
Crash of the Titans,X360,Action,Vivendi Games,0.3,4-Oct-07,65.0,25.0,7.1,24.0,Radical Entertainment
Just Dance 2014,X360,Misc,Ubisoft,0.72,8-Oct-13,79.0,16.0,7.2,27.0,Ubisoft
Major League Baseball 2K8,PS3,Sports,Bethesda Softworks,0.29,3-Mar-08,67.0,23.0,5.6,8.0,Kush Games
Ken to Mahou to Gakuen Mono. 3D,3DS,Role-Playing,Acquire,0.06,,,,,,
Hot Wheels Ultimate Racing,PSP,Action,Activision,0.1,2-Jul-07,60.0,6.0,tbd,,Raylight Studios
Venetica,PS3,Role-Playing,DTP Entertainment,0.1,10-Jan-11,47.0,14.0,5.5,4.0,Deck 13
NBA Live 07,X360,Sports,Electronic Arts,0.43,25-Sep-06,59.0,32.0,4.8,57.0,EA Sports
Mind 0,PSV,Role-Playing,GungHo,0.04,,,,,,
Showtime Championship Boxing,Wii,Fighting,Zoo Digital Publishing,0.06,13-Dec-07,35.0,7.0,4.7,10.0,Nikitova Games
Warriors of the Lost Empire,PSP,Role-Playing,Mercury Games,0.06,13-Dec-07,52.0,6.0,8.2,10.0,Goshow
Shrek: Forever After,Wii,Platform,Activision,0.27,18-May-10,,,tbd,,Xpec
Hellboy: The Science of Evil,X360,Action,Konami Digital Entertainment,0.1,24-Jun-08,44.0,31.0,5.1,8.0,Krome Studios
