# temperatura,vacuo,energia_knn,energia_rnn,energia_lr
25.82,66.49,434.35,434.35,439.92
34.20,68.14,428.12,429.12,425.07
19.13,68.61,448.69,448.69,450.65
11.77,41.06,475.88,475.88,472.19
10.25,41.46,481.94,481.94,474.66
23.82,48.92,446.85,446.85,449.06
30.10,66.25,434.99,434.99,432.69
29.92,69.75,441.50,441.50,431.85
29.63,66.75,433.26,433.26,433.33
30.61,77.17,430.46,430.46,428.26
16.18,50.88,455.14,455.14,461.46
31.66,73.91,431.68,432.43,427.53
29.14,61.50,437.76,437.76,435.87
18.40,43.96,464.63,464.63,459.93
15.86,38.62,462.58,462.58,466.00
6.31,42.07,483.27,483.27,481.19
23.40,72.99,438.51,438.51,441.93
33.62,77.17,431.03,431.03,423.12
6.89,43.65,484.00,484.00,479.68
27.41,69.98,431.64,431.64,436.07
26.37,54.50,450.89,450.89,442.88
26.58,59.39,440.49,441.77,440.93
15.25,43.02,467.23,467.23,465.61
21.24,41.67,459.81,459.81,455.82
24.98,58.05,447.15,447.15,444.10
26.63,64.44,444.12,442.35,439.20
18.87,52.08,449.61,449.61,456.48
5.12,40.78,481.28,481.28,483.64
31.10,71.32,437.54,437.54,429.33
7.91,39.96,480.97,481.40,479.14
14.97,58.20,458.68,458.68,461.15
28.92,61.02,436.76,436.76,436.40
22.92,61.90,446.08,446.08,446.36
12.55,38.91,474.35,474.35,471.56
9.38,41.44,476.09,477.31,476.15
10.28,41.46,479.66,479.66,474.61
30.31,77.24,431.66,431.85,428.75
25.34,71.06,437.26,435.49,439.25
30.47,70.02,431.81,433.14,430.83
20.18,56.53,454.90,454.35,452.79
21.31,46.97,455.76,455.76,453.98
22.10,74.87,442.83,442.83,443.54
20.09,63.94,449.47,449.47,450.53
22.36,58.79,446.00,446.00,448.33
9.43,37.14,473.57,473.57,477.47
28.86,49.30,435.75,435.75,440.32
23.25,70.32,437.96,437.96,443.06
22.70,60.84,438.59,438.59,447.09
21.30,59.39,445.54,447.16,449.95
19.94,44.90,459.47,459.47,456.99
14.97,43.67,465.54,465.54,465.88
13.83,40.78,466.66,467.99,468.77
23.39,71.25,435.68,435.68,442.52
21.48,47.43,451.10,450.26,453.54
22.63,58.41,445.43,445.43,448.00
20.01,45.09,453.96,453.96,456.81
20.52,43.79,463.93,463.93,456.36
13.58,49.83,465.82,465.82,466.25
14.38,44.84,471.60,471.60,466.50
28.53,69.84,432.98,434.04,434.20
13.89,35.71,470.66,470.42,470.31
25.93,69.34,434.08,434.08,438.80
17.84,61.27,448.93,451.13,455.24
6.28,41.06,489.79,489.79,481.57
8.16,39.64,481.78,481.78,478.82
18.61,67.71,443.57,443.57,451.83
16.23,43.72,457.90,457.90,463.71
8.66,41.01,472.16,472.16,477.52
19.53,66.54,451.19,451.19,450.64
10.17,40.46,470.33,470.33,475.12
6.48,40.27,487.62,484.64,481.48
12.69,40.75,469.76,470.71,470.72
23.77,61.87,445.72,445.72,444.92
14.43,43.50,464.30,466.05,466.86
28.25,57.19,436.99,436.99,438.80
12.26,39.96,470.87,470.87,471.71
14.55,42.74,466.20,466.13,466.90
24.57,51.95,448.15,448.15,446.79
10.25,41.26,478.46,476.25,474.72
21.96,51.43,449.42,449.01,451.41
9.82,39.64,477.93,477.93,475.98
18.58,44.60,457.27,459.34,459.41
20.57,44.90,459.29,456.93,455.91
8.61,41.04,473.62,473.62,477.60
9.99,43.52,477.70,477.31,474.43
13.97,52.05,463.91,463.11,464.86
16.76,43.67,462.44,462.44,462.82
25.58,47.01,445.31,444.96,446.67
17.34,46.48,452.06,452.06,460.92
19.13,66.86,453.31,453.31,451.22
12.75,40.64,466.93,466.93,470.66
29.46,49.30,436.37,436.37,439.30
15.59,52.75,458.87,458.87,461.86
14.20,43.02,470.67,470.67,467.40
14.05,40.35,475.54,475.54,468.53
32.35,77.95,432.72,432.72,425.03
21.41,56.90,441.41,441.41,450.57
10.61,37.50,473.20,473.85,475.33
19.13,40.79,457.83,457.83,459.71
17.28,44.06,462.05,462.05,461.81
24.79,50.78,445.30,445.30,446.79
28.66,50.05,437.05,437.96,440.42
12.91,41.16,467.42,469.85,470.21
17.32,43.70,464.50,464.50,461.86
18.74,59.21,451.44,451.08,454.38
26.69,70.36,437.08,435.25,437.17
12.28,40.55,472.95,472.47,471.49
14.46,44.78,459.31,459.31,466.39
30.54,70.17,434.62,434.62,430.66
27.58,66.48,435.34,435.34,436.91
32.17,73.21,430.64,430.64,426.88
26.23,59.87,447.16,447.16,441.37
11.69,35.76,472.65,472.84,474.06
14.73,39.82,470.41,470.41,467.54
12.36,48.04,468.37,468.37,468.91
9.52,40.96,479.17,477.30,476.07
27.32,73.42,432.74,432.74,435.10
23.81,73.17,438.11,438.11,441.17
7.92,42.28,484.75,484.75,478.37
23.58,58.82,445.01,445.01,446.24
20.78,60.84,445.82,445.82,450.36
19.68,68.28,448.93,447.49,449.82
14.12,40.92,459.76,459.76,468.22
22.97,62.40,445.01,445.29,446.12
6.89,39.37,486.90,486.90,481.08
19.98,56.53,454.89,454.89,453.13
21.71,60.27,441.19,441.19,448.96
23.02,59.21,443.05,444.91,447.07
27.71,69.51,435.04,435.04,435.71
10.46,37.50,472.16,472.16,475.59
27.18,62.66,442.16,442.16,438.84
25.56,50.05,442.49,442.49,445.72
19.69,39.72,459.24,459.04,459.10
31.37,76.86,431.03,431.03,427.06
14.17,41.67,471.42,471.42,467.90
15.60,43.71,463.34,463.34,464.79
25.30,71.58,433.97,433.97,439.15
7.09,39.37,487.00,487.00,480.73
6.07,41.14,480.19,480.19,481.90
9.86,38.38,479.56,479.56,476.33
14.73,40.35,470.03,470.03,467.37
31.32,74.33,429.57,429.57,427.97
6.14,38.50,488.78,487.20,482.64
27.92,69.23,435.34,434.78,435.44
25.63,58.86,443.84,443.84,442.73
16.37,36.99,463.76,463.76,465.66
28.31,65.71,447.26,447.26,435.92
24.44,69.84,430.30,430.30,441.18
11.33,41.50,475.01,475.01,472.80
23.87,63.94,444.11,443.94,444.08
21.14,48.78,450.35,450.35,453.68
22.24,60.07,444.35,445.21,448.12
23.07,70.47,439.04,439.04,443.32
25.95,59.14,438.46,438.46,442.09
16.44,43.96,468.57,468.57,463.27
20.66,41.54,462.28,460.72,456.85
15.01,39.52,466.60,466.52,467.16
20.51,63.86,447.47,448.26,449.84
24.10,52.84,445.29,446.52,447.30
9.38,40.46,485.03,478.52,476.47
27.49,71.94,432.95,432.95,435.29
32.84,68.14,434.88,431.78,427.39
20.83,44.78,460.60,460.60,455.51
28.69,67.25,433.21,433.21,434.77
9.35,44.03,474.88,476.27,475.36
17.37,41.23,461.08,461.08,462.57
14.84,41.48,466.02,465.73,466.81
27.88,68.94,435.45,435.07,435.60
17.83,43.72,453.86,453.86,460.98
7.64,42.28,482.74,482.13,478.85
25.67,74.78,440.48,440.48,437.47
23.10,51.30,446.69,446.66,449.51
27.13,69.45,434.47,434.47,436.72
26.95,70.80,436.80,436.80,436.58
19.40,42.44,460.87,460.68,458.71
13.50,44.92,469.83,468.22,467.98
11.97,41.04,468.81,468.81,471.86
18.11,58.95,454.29,454.29,455.54
24.10,71.29,439.51,437.49,441.29
20.29,65.27,445.52,445.52,449.76
21.82,65.27,447.43,447.43,447.15
29.45,75.60,437.31,437.31,430.75
10.87,38.38,477.03,477.03,474.60
17.36,39.53,456.57,456.57,463.14
24.97,58.95,441.66,442.43,443.82
13.72,45.09,467.43,467.42,467.55
26.49,61.86,440.21,440.21,440.28
8.25,41.26,475.17,475.17,478.14
12.80,44.90,466.95,466.95,469.18
17.08,40.12,457.81,457.81,463.43
31.40,71.06,433.34,433.34,428.90
8.26,44.71,485.19,485.19,477.00
21.22,59.15,450.96,450.96,450.16
26.10,62.91,446.05,446.05,440.60
19.91,51.19,449.23,449.23,454.99
14.56,40.69,469.31,469.31,467.55
10.22,41.74,479.01,479.01,474.62
29.12,67.83,432.46,432.46,433.85
16.97,39.16,458.59,458.59,463.93
26.19,49.30,443.17,443.24,444.88
23.65,66.05,440.94,441.52,443.77
29.53,70.94,432.43,432.43,432.13
19.69,56.65,455.87,455.87,453.59
33.71,69.98,431.99,431.99,425.31
32.14,75.08,439.22,439.22,426.33
29.28,77.17,433.14,433.14,430.53
7.01,37.80,483.95,483.95,481.38
30.47,68.24,427.94,427.94,431.41
29.13,47.93,438.19,437.88,440.31
11.86,39.85,472.67,473.85,472.43
26.16,52.36,453.08,453.08,443.94
10.56,39.13,479.04,476.39,474.89
8.58,40.72,480.96,480.96,477.75
14.26,40.92,460.38,460.38,467.99
23.48,73.67,437.19,437.19,441.57
5.54,45.87,478.02,478.02,481.26
16.98,43.99,463.21,461.87,462.34
30.08,67.25,434.01,434.01,432.39
10.63,39.61,476.99,476.99,474.61
30.36,74.87,435.31,435.31,429.43
29.56,70.40,432.85,432.85,432.26
19.94,56.53,455.59,454.95,453.20
27.55,64.96,436.73,439.02,437.46
31.44,79.74,432.62,432.69,426.00
25.35,74.33,434.86,435.88,438.17
4.11,38.44,489.38,488.37,486.13
30.59,70.04,429.13,429.13,430.62
14.04,48.79,464.09,464.09,465.80
15.47,44.90,465.61,465.61,464.62
8.67,40.77,479.23,479.23,477.58
10.53,37.50,473.48,474.20,475.47
7.99,41.38,482.38,480.96,478.54
22.29,45.01,449.08,449.08,452.94
9.06,36.30,477.38,477.38,478.37
10.05,37.14,474.16,474.16,476.41
20.07,49.21,453.66,452.39,455.36
30.65,71.98,429.85,429.85,429.88
14.38,40.73,471.34,468.09,467.84
27.76,71.97,430.93,432.38,434.82
16.70,40.56,470.84,470.84,463.94
5.35,35.57,486.88,486.51,484.94
11.57,41.38,473.94,473.94,472.43
30.57,73.03,437.42,437.42,429.68
16.00,40.66,457.12,457.12,465.10
15.60,41.04,462.27,464.17,465.66
22.12,47.93,446.23,447.84,452.28
21.33,58.46,448.85,448.38,450.20
23.65,59.92,436.74,436.74,445.76
6.80,39.37,487.33,487.33,481.23
31.35,71.32,432.46,432.59,428.90
23.99,68.12,437.14,437.14,442.51
26.53,54.20,439.96,439.96,442.71
31.59,62.70,442.58,442.58,431.30
24.06,69.94,437.72,438.42,441.80
27.28,44.89,441.94,441.94,444.46
23.69,71.97,438.36,437.74,441.77
11.46,39.10,470.55,470.55,473.36
22.61,49.30,445.32,445.84,451.00
21.84,45.09,450.88,450.88,453.68
9.20,39.82,482.89,482.89,476.98
17.75,49.25,454.41,454.41,459.31
7.53,43.65,479.15,479.15,478.59
16.76,45.09,457.67,460.65,462.36
22.69,65.12,443.73,444.64,445.71
11.91,44.45,466.52,466.52,470.85
26.63,61.47,444.16,444.16,440.17
6.72,39.85,489.09,489.09,481.21
9.44,43.99,475.01,475.01,475.22
18.32,45.00,471.43,471.43,459.72
18.31,62.10,455.24,455.24,454.17
26.57,44.57,445.49,445.49,445.78
34.33,69.05,430.56,430.56,424.55
14.85,40.80,471.78,471.78,467.02
29.33,64.84,439.95,439.07,434.46
8.77,40.46,475.00,475.00,477.51
11.35,38.91,474.22,474.22,473.61
21.38,44.05,445.71,445.71,454.81
4.88,40.27,489.24,486.90,484.22
26.66,64.27,437.87,437.87,439.21
13.04,45.09,467.44,467.44,468.71
29.47,71.32,437.14,437.14,432.11
18.91,56.90,454.95,454.38,454.84
24.86,44.05,447.20,447.20,448.87
9.42,41.40,477.75,477.75,476.09
12.75,42.34,465.44,465.44,470.10
21.32,49.02,450.82,449.87,453.29
24.26,67.69,440.52,440.54,442.19
20.01,43.77,455.66,455.66,457.24
21.35,59.04,446.40,447.47,449.98
17.43,63.09,449.36,449.36,455.35
27.86,65.18,436.26,436.26,436.86
20.74,59.80,450.33,448.70,450.77
27.73,67.69,437.45,436.43,436.26
9.53,41.44,478.79,477.53,475.89
28.50,79.74,433.08,433.08,431.02
21.39,52.30,447.32,447.32,452.10
14.54,46.18,462.35,464.29,465.79
28.01,65.34,440.15,438.94,436.55
30.51,70.94,430.91,430.91,430.46
21.63,60.84,444.86,446.03,448.91
26.39,71.25,430.34,430.34,437.39
13.84,41.26,466.97,467.50,468.59
17.27,43.52,460.08,460.08,462.00
21.89,58.05,441.76,441.76,449.38
24.02,64.63,442.74,443.37,443.60
31.92,75.33,433.85,433.85,426.62
12.97,49.83,452.07,452.07,467.29
15.89,43.96,467.35,467.35,464.21
9.25,41.26,473.87,473.87,476.43
15.99,43.50,460.70,460.70,464.19
9.06,39.66,479.53,479.53,477.28
14.48,44.06,463.62,465.86,466.59
27.15,59.21,439.79,441.06,440.02
21.68,64.15,454.32,454.32,447.75
28.16,61.47,442.48,442.48,437.56
34.33,74.34,435.76,435.76,422.83
31.98,64.05,439.44,439.44,430.19
15.21,43.56,467.00,467.00,465.50
13.56,42.34,465.32,467.22,468.72
10.32,42.02,473.91,475.60,474.36
22.46,58.49,448.46,448.46,448.26
29.30,68.08,434.11,434.11,433.46
22.30,44.57,449.74,449.74,453.07
21.91,70.32,441.66,440.68,445.35
10.95,43.80,473.20,473.20,472.70
24.96,68.12,441.57,439.50,440.85
5.91,39.33,491.49,491.49,482.76
5.25,40.07,495.23,495.23,483.65
21.47,60.93,442.75,442.75,449.16
10.16,39.30,478.24,476.82,475.51
17.29,44.06,461.38,461.38,461.79
17.46,40.22,461.74,461.74,462.75
11.56,40.43,478.65,474.75,472.76
7.51,41.01,477.61,477.61,479.48
17.08,38.58,461.49,461.49,463.93
9.27,42.02,474.93,474.93,476.15
21.30,48.92,447.89,447.89,453.36
8.51,40.81,478.73,479.34,477.84
12.77,41.50,467.15,469.53,470.34
25.04,65.48,440.92,440.92,441.58
21.83,41.10,453.38,453.38,455.00
15.92,41.79,463.98,464.09,464.87
29.97,69.14,435.88,434.05,431.97
9.80,41.82,473.72,473.72,475.31
9.01,38.56,479.06,479.24,477.72
24.71,61.90,443.39,443.39,443.31
20.57,63.78,447.46,448.12,449.76
24.32,65.48,443.31,443.31,442.81
21.41,50.32,446.73,448.99,452.71
27.09,59.15,438.90,438.90,440.14
23.49,47.45,451.02,447.41,450.10
20.00,63.31,449.68,449.68,450.89
13.40,41.58,468.95,468.39,469.24
23.60,60.08,451.97,451.97,445.80
21.03,70.02,443.68,443.60,446.95
5.15,45.87,479.61,479.61,481.93
17.16,58.86,453.76,453.76,457.19
24.59,71.94,434.77,435.23,440.24
23.05,65.94,442.39,442.39,444.83
10.48,37.50,473.19,474.06,475.55
15.72,43.02,465.43,464.34,464.81
25.56,70.32,433.72,433.72,439.11
13.78,41.16,460.44,460.44,468.73
29.35,69.04,445.04,445.04,433.06
32.09,79.74,433.99,434.14,424.89
25.16,77.30,439.37,439.37,437.52
14.63,40.00,457.09,457.09,467.65
5.70,40.35,486.62,486.08,482.79
28.15,74.90,433.63,433.63,433.20
22.30,57.19,444.41,446.76,448.96
27.71,72.99,433.01,433.01,434.57
23.09,45.01,453.45,453.45,451.58
19.66,42.18,454.46,454.46,458.35
10.02,52.75,473.09,473.09,471.37
23.97,68.67,441.53,441.53,442.37
7.82,38.91,479.15,479.15,479.64
30.21,69.40,438.18,438.18,431.47
24.12,62.44,442.84,443.37,444.14
21.05,63.09,447.45,447.45,449.17
13.93,40.24,466.35,467.87,468.77
9.68,41.06,476.67,476.67,475.76
17.48,49.39,460.01,460.01,459.73
28.76,66.56,433.30,435.46,434.87
19.21,53.16,454.01,454.01,455.55
25.63,72.99,432.92,433.70,438.12
20.36,66.05,451.07,449.46,449.38
15.34,40.73,462.39,464.92,466.20
9.55,40.72,481.08,481.08,476.09
13.45,41.16,460.57,460.57,469.29
10.80,39.58,478.24,478.24,474.33
28.15,72.99,431.83,431.83,433.82
15.42,40.56,460.81,464.74,466.12
33.60,74.33,428.62,428.62,424.08
30.92,78.05,431.91,432.07,427.44
25.24,57.17,442.64,442.70,443.94
13.60,41.20,467.42,467.42,469.02
18.68,46.00,456.67,457.68,458.78
22.43,69.84,439.11,439.78,444.61
23.37,70.94,438.32,438.48,442.65
19.62,43.56,463.33,463.33,457.97
14.35,39.39,470.53,470.53,468.33
24.88,63.91,447.28,447.28,442.36
20.67,63.56,450.70,450.70,449.67
34.11,73.56,432.78,432.78,423.46
19.15,44.89,451.09,451.09,458.34
24.96,70.47,438.23,438.23,440.09
18.86,42.18,461.50,461.54,459.72
25.10,60.37,441.59,442.05,443.14
10.15,43.41,476.68,476.65,474.19
26.53,65.18,438.72,440.74,439.13
26.05,46.21,444.05,444.86,446.13
25.45,74.33,435.12,435.12,438.00
8.14,39.96,477.05,477.05,478.75
31.95,67.17,432.60,432.60,429.23
30.80,73.56,430.86,431.93,429.11
7.69,43.02,486.46,486.46,478.52
15.30,43.67,463.79,464.39,465.31
27.12,70.32,429.08,429.08,436.45
25.76,74.87,443.70,443.70,437.29
10.28,39.64,477.69,476.84,475.20
30.91,79.74,432.23,432.31,426.91
24.22,61.86,442.65,442.65,444.16
5.67,45.87,480.52,480.57,481.04
22.96,68.61,447.18,447.18,444.11
24.54,65.46,446.26,446.26,442.44
11.32,36.18,472.18,473.01,474.55
15.15,53.82,463.52,462.25,462.26
23.53,50.05,444.95,445.53,449.18
29.08,66.54,430.16,430.16,434.33
20.42,60.77,447.85,447.85,451.00
26.32,69.71,441.25,441.25,438.01
21.89,74.93,442.84,442.64,443.88
9.68,41.48,479.38,477.02,475.62
16.73,54.30,460.54,460.54,459.41
7.80,39.04,482.31,482.31,479.63
23.29,65.61,444.26,443.46,444.52
28.93,72.99,432.91,433.07,432.49
16.75,42.23,460.94,463.22,463.31
21.47,58.79,446.33,446.33,449.85
25.98,68.12,435.40,436.40,439.11
16.34,36.99,466.24,466.24,465.71
25.23,69.34,436.15,437.04,440.00
12.41,41.44,472.06,472.06,470.98
24.20,60.77,439.13,439.13,444.55
7.51,41.66,485.58,485.58,479.27
31.53,70.94,431.84,431.84,428.72
17.42,44.06,460.40,460.81,461.57
6.92,39.61,483.83,483.83,480.95
8.34,40.72,483.14,483.14,478.16
32.07,67.83,427.20,430.59,428.81
27.18,64.79,436.56,439.88,438.15
9.24,41.40,477.15,477.15,476.40
13.48,46.18,464.90,466.66,467.60
22.74,61.02,445.56,445.56,446.96
28.62,68.24,428.08,428.08,434.57
25.11,62.26,439.89,442.25,442.51
11.47,43.67,475.72,475.72,471.85
29.51,75.60,436.43,435.40,430.65
15.24,39.39,469.79,469.79,466.81
22.71,75.23,444.00,444.00,442.38
13.98,39.18,467.97,467.97,469.03
17.89,40.12,451.79,451.79,462.05
12.81,44.58,475.50,475.50,469.27
15.54,41.96,467.10,467.10,465.46
20.21,54.90,454.23,454.23,453.27
6.17,36.25,484.81,484.81,483.32
26.42,59.54,438.50,438.50,441.16
14.60,44.47,465.24,465.24,466.25
29.53,72.39,431.69,431.69,431.66
12.95,43.71,469.27,469.00,469.31
13.26,40.83,472.14,472.14,469.72
23.48,60.23,437.44,437.44,445.95
10.16,41.55,477.27,477.27,474.78
29.13,66.56,439.31,439.31,434.24
10.80,41.74,473.83,474.95,473.63
25.21,75.60,445.84,445.84,437.99
20.72,44.57,449.76,449.76,455.77
26.17,59.92,444.96,444.96,441.46
17.48,44.20,457.15,457.15,461.42
29.67,73.67,431.63,432.95,431.00
26.38,71.73,431.66,431.66,437.25
12.08,41.39,477.80,477.80,471.56
25.30,70.98,438.45,435.73,439.34
16.55,39.64,465.29,465.29,464.49
13.18,43.80,467.00,467.00,468.89
21.34,51.61,452.00,452.00,452.41
20.06,44.90,457.61,457.44,456.79
8.26,39.42,474.72,474.72,478.72
8.51,38.50,484.27,482.03,478.59
8.83,36.25,475.23,476.94,478.78
14.52,44.84,466.88,466.88,466.27
7.87,43.02,485.61,485.61,478.21
7.14,44.71,487.71,487.71,478.91
7.49,36.08,483.26,483.26,481.12
11.01,40.22,476.69,476.69,473.76
20.74,58.20,450.40,450.40,451.29
30.98,67.48,439.39,439.39,430.78
26.67,70.94,439.13,439.13,437.02
28.24,71.58,432.36,433.01,434.13
11.98,39.35,475.78,474.28,472.39
30.91,69.75,435.70,435.70,430.16
23.23,63.31,441.50,441.50,445.38
30.13,78.05,432.86,432.55,428.79
20.79,65.59,450.30,450.30,448.80
14.38,45.09,464.27,464.27,466.42
10.07,40.46,471.02,475.33,475.29
10.48,41.38,481.41,481.41,474.29
6.86,41.17,490.23,490.23,480.54
13.25,41.62,468.30,468.64,469.48
26.92,51.43,437.35,437.35,442.94
12.76,40.27,473.83,471.66,470.76
30.20,73.67,434.38,433.00,430.10
10.72,41.38,478.29,478.29,473.88
17.39,46.21,455.52,457.67,460.92
30.97,67.69,425.35,425.35,430.73
28.16,71.94,432.13,432.89,434.15
28.84,73.03,435.75,435.75,432.63
24.48,64.45,442.98,443.60,442.87
11.23,39.72,472.63,474.63,473.55
13.52,42.07,465.51,467.70,468.88
16.61,45.87,459.05,459.75,462.36
20.96,61.27,448.77,448.77,449.92
32.15,69.98,431.54,432.61,427.97
21.24,44.57,453.87,453.83,454.88
26.49,78.92,434.91,434.91,434.72
24.01,65.46,443.81,443.81,443.34
33.15,70.40,430.15,430.15,426.13
20.13,40.33,457.41,459.22,458.15
21.41,62.39,451.96,448.01,448.78
31.35,70.80,432.19,432.19,429.07
27.44,58.90,442.19,442.19,439.62
25.21,51.43,439.01,439.01,445.86
32.06,75.33,432.92,432.92,426.38
25.04,51.95,449.45,449.45,445.98
13.31,40.10,468.74,468.74,469.88
29.68,64.33,441.79,441.79,434.03
13.46,44.71,469.63,468.18,468.12
18.77,49.39,453.74,453.24,457.53
13.56,39.18,470.38,470.38,469.75
20.65,66.51,456.49,456.49,448.74
26.50,66.05,440.13,439.57,438.90
23.67,72.24,438.17,437.69,441.72
8.64,41.66,479.42,479.20,477.34
20.20,50.90,450.09,451.20,454.59
5.04,40.64,484.35,485.55,483.82
23.59,59.43,441.67,443.84,446.02
17.47,58.16,455.45,453.51,456.89
6.02,43.65,481.92,481.92,481.17
30.05,56.90,437.55,437.55,435.82
29.23,68.14,428.87,428.87,433.56
26.03,64.44,444.06,442.68,440.23
26.38,49.50,457.81,457.81,444.49
5.66,40.62,485.18,485.18,482.77
27.65,48.41,439.18,439.74,442.68
17.88,46.97,456.77,456.77,459.83
11.20,37.50,472.20,472.20,474.33
20.94,58.16,455.16,455.16,450.96
20.64,49.21,454.20,454.20,454.39
19.21,60.07,451.95,451.00,453.30
13.22,44.92,471.43,471.43,468.46
33.60,77.17,431.76,431.82,423.15
27.83,59.57,443.85,443.85,438.74
21.11,58.49,449.16,449.16,450.57
30.47,77.30,433.57,433.34,428.46
15.48,47.83,463.67,463.67,463.65
20.25,44.78,457.31,457.20,456.50
15.87,39.31,465.30,464.61,465.76
22.57,62.40,444.69,444.69,446.80
12.67,48.14,465.56,464.86,468.35
21.41,54.20,448.11,448.11,451.45
30.86,70.32,433.71,433.71,430.06
23.64,60.95,447.86,447.86,445.44
5.52,42.85,478.98,478.98,482.28
11.06,40.64,479.13,479.13,473.54
24.41,56.90,439.51,439.51,445.45
10.28,39.61,478.34,478.34,475.21
14.67,71.14,458.80,458.80,457.44
25.15,57.32,440.10,440.10,444.05
21.50,44.58,460.20,460.20,454.43
7.74,39.96,475.23,475.23,479.43
21.31,42.80,460.43,457.74,455.33
29.92,67.22,433.99,433.71,432.68
4.15,39.90,490.51,490.51,485.58
15.95,42.24,465.35,465.35,464.67
25.01,66.56,434.74,434.74,441.28
27.17,67.17,439.03,437.29,437.39
28.14,43.21,436.53,436.53,443.54
13.93,44.47,469.25,469.25,467.39
25.83,70.47,434.45,434.45,438.60
24.40,60.32,442.84,442.50,444.35
26.35,69.48,435.23,435.23,438.04
30.99,69.82,437.46,437.46,430.00
25.82,57.19,440.95,441.96,442.95
28.37,75.60,439.25,439.25,432.60
29.28,74.33,432.20,433.46,431.46
18.35,57.76,458.41,458.41,455.52
16.69,46.18,462.30,462.30,462.12
9.59,37.14,474.74,474.74,477.19
10.11,39.35,478.38,476.89,475.58
17.37,57.76,456.40,456.40,457.19
20.92,49.15,451.69,451.00,453.93
22.82,64.63,448.30,445.74,445.65
23.55,51.95,449.54,449.54,448.53
30.47,70.83,444.39,444.39,430.56
13.16,40.71,475.87,475.87,469.93
6.25,39.64,483.43,483.43,482.08
16.98,53.16,458.93,458.93,459.35
27.50,68.24,430.90,430.90,436.48
24.39,63.21,446.40,446.40,443.43
14.69,54.30,462.63,462.63,462.89
26.31,72.39,434.53,434.53,437.16
14.85,58.59,454.62,454.62,461.22
21.95,59.43,444.69,446.05,448.83
31.91,67.83,425.28,425.28,429.08
16.20,65.46,453.56,453.64,456.68
27.35,77.95,434.67,434.67,433.57
8.73,41.26,476.42,476.42,477.32
14.13,53.82,465.11,465.05,464.01
13.18,40.24,469.35,469.35,470.05
10.74,40.92,466.77,466.77,474.00
6.28,43.02,487.17,487.17,480.93
6.04,41.14,481.37,481.37,481.95
16.78,58.95,454.90,454.18,457.81
14.99,41.35,466.85,466.85,466.60
26.26,65.06,440.92,440.92,439.63
32.09,70.40,434.64,434.64,427.94
22.88,63.91,442.50,442.50,445.78
