temperatura,vacuo,energia
11.36,40.75,477.5
10.15,41.14,473.56
27.46,61.86,439.72
12.33,37.73,470.11
26.62,76.2,437.81
26.44,71.64,435.61
6.05,41.14,481.02
11.41,41.4,449.5
33.59,79.05,436.51
17.48,44.71,465.61
7.92,41.66,483.38
29.84,74.87,435.05
14.12,39.52,465.09
17.18,40.55,461.73
16.0,43.02,466.01
5.89,39.48,484.91
19.26,65.61,451.85
18.36,56.65,456.49
26.05,58.59,452.41
23.76,58.41,445.85
14.38,40.1,467.28
16.41,44.92,462.12
24.11,66.51,437.21
29.65,72.86,434.67
12.87,41.5,469.44
27.98,58.33,437.76
19.54,54.9,455.86
13.33,39.39,471.23
10.91,39.61,469.42
10.05,40.71,471.68
20.6,65.12,452.86
15.34,41.96,468.33
21.69,69.94,443.67
28.78,64.96,432.66
24.31,65.94,442.69
15.98,44.68,462.77
11.36,40.75,477.5
19.26,58.46,450.66
20.2,64.45,452.33
22.2,59.21,445.29
8.57,41.17,484.2
10.71,39.61,473.77
29.6,71.58,434.64
13.68,45.08,467.02
30.68,71.8,435.4
10.06,39.61,476.92
21.97,69.23,443.85
25.87,44.57,445.79
10.17,41.17,478.04
26.3,61.41,448.55
5.97,36.25,487.03
12.17,41.58,463.03
28.53,76.86,431.64
6.72,38.91,485.89
28.52,70.72,437.72
11.94,40.66,467.99
29.67,71.98,425.14
20.13,60.07,453.49
16.48,41.35,465.64
26.35,59.87,447.26
17.75,49.25,454.41
19.35,39.39,465.28
18.67,47.83,454.47
10.68,38.38,476.22
16.55,41.93,466.77
12.24,40.96,475.32
5.9,45.87,481.27
20.12,65.94,447.46
31.09,74.22,430.3
23.79,58.59,443.19
23.22,69.04,448.6
24.01,46.93,448.35
28.62,68.24,428.08
23.43,54.42,454.86
19.44,39.53,457.09
18.23,60.95,455.53
20.77,45.87,452.71
14.76,40.71,465.58
13.98,39.18,467.97
12.89,36.71,475.13
12.9,44.63,467.41
19.76,58.79,449.76
7.94,43.65,479.8
29.23,75.6,438.92
27.41,63.07,445.02
23.56,73.67,439.27
22.68,70.47,441.47
9.64,39.35,479.81
11.03,44.78,470.17
8.56,40.71,471.58
14.87,54.3,462.87
27.11,69.75,433.28
26.12,66.75,433.67
9.89,40.64,478.13
26.63,73.68,428.8
20.77,45.87,452.71
14.6,44.47,465.24
23.81,57.5,448.72
25.5,67.83,437.49
10.7,44.77,484.94
25.57,66.54,430.92
24.7,50.23,454.42
24.11,68.63,448.45
24.0,75.23,443.78
7.06,41.38,487.71
17.66,60.08,456.62
31.26,70.36,438.15
19.15,44.89,451.09
25.4,69.59,432.58
26.17,48.92,440.09
13.04,41.04,464.91
9.64,39.85,478.37
12.42,43.8,466.59
9.31,41.39,480.25
10.69,36.71,472.81
17.21,52.9,460.88
25.08,61.02,437.31
29.13,66.56,439.31
25.2,57.5,446.26
32.87,71.32,433.15
24.86,65.34,447.25
10.12,41.55,475.46
25.09,71.58,434.51
29.7,57.35,433.27
6.42,35.57,485.86
28.79,68.51,432.51
14.97,43.67,465.54
27.25,69.98,431.44
13.48,41.92,463.9
14.22,39.39,470.98
26.06,65.34,444.55
16.3,38.73,465.7
27.5,65.34,439.59
7.16,38.56,486.12
10.37,39.04,479.35
29.66,59.22,441.58
18.26,59.15,452.03
21.79,60.93,443.01
27.52,74.67,433.56
22.97,42.48,466.7
7.25,41.14,477.45
23.69,63.77,444.07
13.19,44.88,467.68
20.67,57.5,453.29
5.4,39.4,485.86
22.43,63.76,442.85
22.18,62.91,449.77
14.08,40.1,469.33
22.33,45.87,447.02
10.37,39.04,479.35
11.52,39.18,474.35
23.28,68.28,442.04
23.28,72.24,434.21
11.94,44.6,468.53
14.35,46.18,461.74
12.06,52.72,467.21
12.14,40.27,472.84
22.64,70.98,441.99
17.34,45.01,459.01
23.32,69.23,436.18
14.49,44.84,465.72
31.85,73.91,431.26
27.38,59.21,437.78
25.6,59.15,441.11
24.73,71.14,437.55
18.4,40.79,461.29
7.38,44.71,486.91
20.33,57.76,450.25
27.39,66.93,441.04
26.8,72.58,428.62
30.29,74.16,431.39
20.57,44.78,465.69
10.72,39.35,480.18
21.44,63.09,444.19
8.32,39.64,479.69
18.73,40.12,454.71
27.55,73.68,431.86
21.04,47.43,450.27
24.49,60.27,440.87
33.41,77.95,432.9
27.28,51.43,450.53
19.53,66.54,451.19
21.28,44.05,444.56
30.28,74.67,428.27
27.71,69.13,432.54
21.4,44.57,445.09
23.81,66.51,438.32
14.77,41.39,470.21
20.79,57.32,446.18
23.84,49.21,445.44
31.1,69.51,429.74
18.75,44.9,452.77
12.75,39.85,475.61
25.6,56.9,437.82
27.69,69.98,433.47
29.79,67.69,428.71
31.9,69.4,436.04
26.04,52.84,439.36
22.5,70.94,442.4
23.1,66.05,439.03
24.61,62.39,437.01
10.12,43.72,473.05
21.96,48.78,451.58
13.57,42.99,472.04
30.75,71.25,431.93
32.51,69.98,429.66
29.29,73.18,430.31
33.17,70.4,430.14
10.72,45.0,480.62
8.71,41.82,477.94
30.3,69.51,431.12
17.85,48.14,451.9
13.43,43.56,472.94
10.94,39.04,479.2
26.95,72.24,435.65
33.92,77.95,433.01
28.61,69.75,440.53
27.46,67.69,432.64
18.31,52.9,459.61
15.69,39.3,464.17
21.4,68.28,450.22
23.92,66.54,441.9
23.83,58.79,444.34
18.51,48.06,455.44
17.84,52.08,450.67
22.06,47.43,453.5
25.67,74.78,440.48
6.65,40.69,479.35
23.32,69.23,436.18
19.1,56.53,455.52
8.07,41.01,474.09
29.24,60.23,438.24
8.21,38.91,481.32
21.87,74.87,442.37
17.29,42.86,464.27
19.81,56.65,457.72
24.8,61.02,438.96
24.43,61.25,436.05
6.89,39.37,486.9
13.15,40.78,462.3
29.12,67.83,432.46
27.75,70.4,436.53
25.68,67.79,449.04
30.35,69.51,430.07
6.52,35.57,486.06
16.37,39.64,463.91
28.71,70.32,435.95
6.74,36.08,484.18
23.56,73.67,439.27
30.34,75.08,437.26
23.9,61.41,451.99
14.94,42.77,462.67
15.0,40.66,456.63
15.29,41.35,466.27
26.2,63.56,442.4
15.6,41.7,461.38
33.41,77.95,432.9
12.65,44.34,473.46
11.37,40.56,478.88
13.21,40.03,469.75
31.18,70.36,438.46
15.51,36.71,465.85
20.74,58.12,449.91
26.51,50.05,440.22
28.69,73.18,431.36
13.96,40.92,460.95
18.6,41.67,458.91
14.6,44.84,464.88
32.41,72.86,432.75
21.08,70.32,440.59
12.03,40.75,474.97
10.8,39.58,478.24
26.86,68.08,436.25
24.48,66.25,441.07
13.98,41.79,457.12
25.32,60.37,438.5
27.06,77.17,432.2
4.44,38.44,486.53
8.67,36.66,480.38
12.06,48.04,465.63
13.83,40.2,465.53
9.45,41.4,475.49
27.59,59.21,437.49
22.94,58.05,433.77
14.73,36.99,468.23
15.14,37.85,468.31
13.8,45.08,466.71
24.23,49.3,440.65
27.07,65.59,442.71
23.89,70.04,433.71
25.67,69.88,441.35
12.36,52.75,465.14
27.86,65.18,436.26
11.72,40.55,474.7
23.2,61.02,443.23
28.96,75.23,439.03
23.82,48.92,446.85
26.15,64.27,439.11
21.41,59.43,442.85
12.27,41.17,473.84
7.41,39.16,486.91
23.57,66.75,439.71
30.26,71.77,429.27
22.8,73.17,437.98
24.27,74.99,438.26
14.92,41.16,465.72
14.95,43.72,459.31
7.26,36.08,483.58
29.38,74.9,433.74
14.22,40.83,469.75
10.45,39.69,472.54
27.4,66.48,439.66
17.51,44.9,455.01
24.39,51.86,447.7
19.09,44.63,461.36
29.82,43.21,433.31
12.25,40.75,475.07
26.12,68.94,434.11
23.97,63.86,441.65
20.76,70.72,448.85
9.83,41.17,478.21
19.05,67.32,447.47
23.1,70.79,434.58
24.6,63.94,439.63
19.99,40.79,455.28
5.94,39.9,485.86
15.15,41.35,468.64
32.21,68.14,426.56
15.03,43.71,463.12
26.11,70.36,445.37
15.61,38.52,439.21
8.42,40.64,476.29
24.38,58.2,444.36
26.26,63.73,442.18
14.82,44.58,473.17
23.34,73.5,441.14
31.46,71.29,430.8
28.83,66.44,430.01
26.17,70.47,434.56
23.66,61.86,444.27
18.76,44.71,462.18
9.38,44.77,473.9
18.21,41.23,457.53
16.78,37.2,471.24
21.06,50.59,454.15
8.48,36.18,480.63
6.9,44.71,486.3
8.61,37.49,477.13
10.45,40.0,465.43
18.75,41.1,458.31
6.77,40.78,478.24
22.66,63.73,444.41
25.11,67.32,441.93
7.55,39.22,482.19
12.41,40.96,473.59
24.82,59.27,444.81
7.64,43.79,486.01
7.33,41.16,466.16
22.92,61.9,446.08
29.77,67.07,433.89
15.71,39.3,462.84
13.86,35.71,471.63
31.92,68.3,430.07
30.9,73.68,430.29
18.65,52.08,449.55
14.14,39.59,465.23
30.26,77.24,430.51
15.56,41.04,457.11
17.48,52.9,458.34
29.18,71.43,443.75
8.51,34.69,481.83
18.81,49.15,459.81
7.84,41.39,485.66
30.65,71.06,432.08
8.94,42.07,473.34
29.59,71.77,426.62
22.49,61.47,437.01
12.1,41.58,462.28
23.46,47.01,457.76
11.02,43.02,478.81
24.66,66.49,438.01
9.68,40.22,479.56
21.67,50.32,445.31
9.68,38.16,475.51
13.42,40.35,472.57
25.48,65.12,447.85
15.29,41.1,467.99
20.07,51.3,450.46
23.83,64.15,447.95
23.94,51.95,451.84
31.71,69.04,441.15
5.76,40.07,494.67
18.16,39.99,461.16
24.23,59.04,443.06
28.68,70.32,430.48
10.5,52.72,468.01
25.57,62.96,444.81
6.9,39.81,481.88
4.73,41.31,486.6
31.44,72.86,433.59
20.72,63.94,447.69
11.61,40.81,473.08
24.84,56.89,440.36
19.2,61.27,455.2
22.89,74.78,443.7
29.0,70.72,437.55
14.22,39.39,470.98
23.38,54.42,451.87
25.42,75.6,438.24
28.26,65.34,441.03
14.45,43.71,463.6
13.52,42.34,463.71
22.64,59.27,446.2
14.72,38.91,468.87
4.27,39.64,487.19
27.67,71.64,433.29
23.12,69.71,442.21
14.52,44.84,466.88
9.75,40.81,481.95
21.37,65.94,444.74
28.33,78.92,432.67
9.04,40.11,473.57
14.85,39.39,468.84
8.35,43.52,479.31
12.93,38.73,471.3
11.06,40.64,479.13
10.8,40.22,478.21
29.49,70.98,434.43
7.0,35.77,482.8
22.96,70.79,434.47
9.34,38.08,482.06
22.67,68.08,443.79
7.89,40.46,477.27
13.18,43.8,467.0
26.21,70.32,430.4
28.52,64.96,431.36
8.8,42.32,483.88
29.65,72.86,434.67
10.63,40.67,483.27
31.46,77.17,435.56
15.71,44.06,465.05
26.01,61.47,435.78
10.29,41.46,480.32
6.84,41.06,489.96
23.26,59.14,440.37
29.27,64.69,438.23
9.13,39.16,484.86
26.43,58.41,444.74
21.55,44.57,446.84
18.59,39.54,462.56
14.1,41.04,465.89
22.67,60.77,444.43
25.57,62.96,444.81
7.55,43.65,481.61
10.54,42.02,472.64
29.53,72.39,431.69
16.52,43.7,466.73
22.1,71.29,442.35
27.69,65.34,442.84
16.71,46.18,459.4
28.52,70.72,437.72
14.97,58.2,458.68
20.5,49.69,452.94
14.82,44.58,473.17
23.08,64.44,448.61
27.04,69.98,433.25
10.32,41.01,467.81
13.24,40.83,472.22
24.39,60.84,442.72
29.25,69.13,426.29
20.94,58.16,455.16
21.24,60.84,445.71
18.92,46.93,453.66
21.41,59.43,442.85
25.62,60.29,444.94
10.9,41.46,479.45
26.99,72.99,430.81
30.29,74.16,431.39
12.17,49.83,469.52
11.22,43.13,473.93
26.73,68.84,440.45
25.77,73.68,429.84
25.86,59.92,436.06
14.77,39.16,470.39
11.61,52.75,464.68
12.82,46.18,466.06
26.94,62.91,449.1
27.37,63.73,437.24
24.41,69.48,435.38
14.52,44.84,466.88
22.56,62.26,445.33
23.12,69.71,442.21
22.54,63.91,446.64
25.03,57.5,449.48
9.81,71.14,469.64
16.39,58.59,455.05
8.42,40.64,476.29
18.59,65.06,450.4
11.02,40.0,468.09
12.19,41.06,474.63
19.44,39.53,457.09
19.82,58.16,455.5
7.4,41.03,486.81
24.85,70.09,439.96
27.97,58.84,446.11
25.95,59.14,438.46
15.31,52.75,460.77
26.2,74.67,430.22
10.37,37.5,473.1
16.79,49.25,458.42
23.63,73.18,437.7
9.22,40.92,474.51
18.38,62.1,452.91
19.94,38.52,450.48
21.39,52.3,446.87
15.49,54.3,464.24
26.05,44.89,443.18
17.73,40.55,462.69
28.48,54.2,440.55
7.87,41.06,486.57
25.42,74.22,433.97
19.5,65.12,453.99
7.55,39.22,482.19
12.85,40.35,472.69
7.19,38.91,486.05
20.71,46.63,453.05
28.15,72.99,431.83
30.27,70.32,430.22
18.63,61.27,454.03
9.38,44.77,473.9
25.48,65.12,447.85
21.57,66.49,455.18
11.83,44.21,463.62
20.6,60.08,454.39
26.49,78.92,434.91
23.97,63.86,441.65
31.91,67.83,425.28
11.93,41.38,473.88
24.37,73.42,440.29
29.98,76.09,432.0
32.14,75.08,439.22
27.53,70.32,433.72
15.62,41.76,459.72
13.87,42.99,471.12
29.36,68.94,431.39
31.01,73.5,432.41
26.34,69.04,444.13
21.98,59.39,446.79
6.4,39.9,486.03
28.54,69.59,433.3
11.2,37.5,472.2
26.61,72.43,427.61
29.19,65.71,444.49
13.6,41.2,467.42
22.07,50.78,449.96
24.69,71.73,436.78
22.28,58.12,448.97
7.32,41.22,484.21
9.18,42.18,475.57
29.41,64.05,444.82
30.12,73.18,429.31
5.54,45.87,478.02
15.41,42.44,472.28
30.38,71.58,433.75
24.39,51.86,447.7
18.37,51.86,461.14
30.98,67.48,439.39
25.45,63.76,439.56
19.45,46.33,452.82
14.8,38.73,467.54
23.58,70.04,435.47
7.61,41.26,480.68
11.36,40.75,477.5
18.63,50.16,450.14
5.45,39.04,487.33
30.47,72.86,432.51
28.47,69.23,434.12
21.8,62.39,452.15
14.85,43.13,470.37
12.56,43.41,467.19
8.67,40.77,479.23
25.27,69.89,436.33
25.53,59.57,445.59
28.53,66.51,436.16
25.42,66.05,442.6
15.26,46.18,463.6
31.68,74.16,434.61
16.7,50.88,456.18
27.19,64.27,444.54
19.05,53.16,455.76
13.45,40.73,461.03
11.34,41.54,477.24
6.93,41.14,479.06
17.34,44.78,454.97
32.56,68.94,425.61
15.33,43.13,466.86
4.7,39.9,487.78
13.78,40.1,445.98
10.86,37.5,473.75
26.16,67.9,444.06
29.86,59.57,439.44
24.79,75.6,440.05
9.2,39.99,484.04
29.08,67.79,442.78
32.81,75.08,433.37
12.18,40.1,471.49
19.55,42.04,466.4
15.63,43.02,466.69
33.95,80.18,432.22
28.28,69.48,428.75
14.19,39.52,467.14
29.39,71.14,430.5
26.36,73.68,430.39
27.3,57.19,438.65
10.37,37.5,473.1
31.54,72.58,427.31
12.33,39.85,479.32
11.95,42.07,467.91
25.21,75.6,445.84
9.55,40.72,481.08
28.59,80.18,431.55
32.21,71.85,429.15
14.02,44.47,465.93
20.18,43.56,462.8
12.19,44.63,468.91
20.46,54.2,448.1
15.11,45.01,460.91
7.29,39.37,478.19
15.91,71.14,458.15
27.03,71.14,430.41
23.83,64.15,447.95
31.25,74.34,432.22
28.86,49.3,435.75
17.14,58.16,458.61
22.61,42.8,460.26
28.25,57.19,436.99
21.46,74.87,445.5
24.97,54.2,439.71
27.31,64.44,442.77
10.22,37.83,471.79
11.53,41.39,474.49
12.87,39.3,471.48
13.7,34.03,470.2
24.74,59.21,440.36
7.19,39.4,483.04
16.65,46.18,465.6
19.46,47.03,460.57
16.76,45.09,458.67
8.07,41.17,484.54
5.15,45.87,479.61
25.97,57.32,442.73
14.73,54.3,463.63
24.81,63.94,444.26
19.78,50.32,449.23
12.74,39.13,468.57
12.81,44.34,474.03
19.95,50.66,458.72
7.89,40.46,477.27
21.36,52.3,448.13
22.64,70.98,441.99
8.6,40.77,480.82
9.41,41.54,481.59
3.96,35.47,489.68
23.03,65.12,447.84
14.66,40.89,465.73
10.42,44.85,479.03
14.1,41.16,460.01
8.43,40.69,484.94
11.84,39.28,477.51
22.42,62.52,451.64
8.83,36.3,479.86
8.76,41.82,480.08
10.22,45.01,474.32
21.85,58.33,447.31
18.3,37.2,470.42
26.38,59.92,444.85
24.78,57.19,443.62
13.1,41.48,460.34
22.49,61.27,448.51
10.06,42.02,477.82
21.7,64.69,448.76
26.68,63.73,439.69
24.44,59.21,445.82
10.06,34.69,477.68
23.56,71.85,439.48
13.38,40.12,468.15
23.43,71.97,442.19
29.22,60.23,436.32
15.28,44.58,467.92
13.7,45.64,467.9
22.28,58.12,448.97
13.2,45.01,466.71
10.23,42.07,475.14
10.41,44.68,474.7
26.48,51.43,438.1
5.15,40.07,495.35
26.04,74.67,433.55
16.58,45.87,457.8
23.13,61.47,438.8
5.91,39.33,491.49
30.21,79.74,430.83
25.33,71.73,435.23
18.71,39.39,465.57
24.88,63.31,441.54
29.45,69.13,432.04
32.98,73.88,440.28
23.6,57.17,446.05
20.65,41.67,455.5
29.13,68.3,437.25
17.48,44.2,457.15
13.6,39.82,470.69
5.15,40.07,495.35
23.36,74.93,443.78
10.61,43.79,480.28
28.16,71.94,430.46
25.69,59.54,439.06
12.07,38.25,470.36
12.93,39.58,473.09
18.76,56.53,452.5
32.9,68.51,430.23
22.93,51.19,443.57
14.93,39.39,468.88
24.2,57.85,446.87
21.4,59.21,444.15
22.58,59.14,439.78
29.01,66.56,428.32
22.45,41.54,460.07
22.49,58.71,443.33
18.03,53.16,457.73
22.57,62.4,444.69
21.83,62.91,443.76
26.75,58.33,444.09
12.17,40.6,473.76
12.75,44.2,471.03
24.36,68.61,448.71
24.95,76.16,437.47
20.21,60.84,447.73
25.21,50.23,454.64
14.79,46.48,462.55
12.31,37.73,472.08
29.35,68.31,445.86
29.86,70.8,437.47
34.48,74.34,433.94
18.5,47.45,450.22
27.98,67.17,440.68
10.6,41.17,478.47
12.54,44.03,471.86
22.34,52.84,449.06
24.02,70.94,441.57
5.95,35.57,487.72
20.76,58.79,447.07
14.88,42.28,466.73
11.91,44.45,466.52
10.65,41.78,474.27
22.54,63.91,446.64
24.54,60.29,447.67
11.63,41.5,477.3
29.42,74.9,434.66
23.5,50.78,445.09
29.42,56.9,439.51
24.18,66.48,434.5
24.02,77.54,438.52
33.76,68.51,429.83
24.98,58.98,441.33
25.44,69.59,433.97
23.25,69.45,437.18
6.4,41.17,488.82
18.27,65.94,450.33
8.77,40.46,475.0
13.15,42.44,469.34
20.25,55.5,455.13
25.91,67.07,441.74
14.21,39.16,473.87
33.95,80.18,432.22
9.37,42.32,477.57
16.14,44.63,463.5
29.25,72.99,429.12
26.86,71.14,426.97
18.48,50.16,452.06
14.43,41.76,467.33
16.58,41.79,452.95
27.83,72.29,445.73
11.17,39.72,474.64
12.46,40.73,464.7
7.0,39.81,484.51
13.75,44.47,467.14
9.76,39.16,482.38
14.57,37.86,463.58
16.22,37.87,461.06
6.06,43.65,480.74
11.18,39.61,468.75
10.13,39.18,479.42
23.39,68.51,438.35
10.57,37.73,474.65
20.3,67.32,441.51
29.26,67.17,436.42
7.04,39.37,488.0
16.92,50.9,460.86
10.36,37.83,472.62
16.92,50.9,460.86
28.9,68.84,437.06
13.49,44.47,466.66
26.08,70.32,434.24
25.02,50.78,444.7
22.7,48.14,448.96
26.1,74.16,437.18
32.12,69.98,429.86
6.65,38.5,491.54
9.81,44.45,471.32
12.81,44.58,475.5
27.65,67.07,439.03
14.66,40.89,465.73
23.87,63.94,445.11
15.3,38.62,462.65
13.86,41.58,461.56
20.14,65.06,444.84
24.92,48.92,445.56
21.14,67.71,445.12
16.7,50.88,456.18
22.0,51.3,450.18
28.37,75.6,439.25
33.43,66.44,433.01
13.72,54.3,467.05
17.47,58.16,456.97
30.8,73.17,432.24
11.15,41.26,473.57
24.35,70.04,438.4
32.36,73.91,431.92
22.26,60.77,442.58
18.6,68.28,446.98
10.22,37.83,471.79
13.89,41.49,469.6
16.34,36.99,466.24
27.54,51.43,439.8
18.6,56.85,450.26
11.15,41.26,473.57
8.73,41.26,476.42
18.28,41.1,460.03
22.52,66.48,435.02
28.76,51.43,449.98
13.98,39.18,467.97
17.32,43.7,464.5
14.13,43.7,469.28
26.94,66.48,440.12
27.21,67.45,436.47
15.16,50.88,460.03
26.54,69.34,435.51
16.57,43.7,465.78
13.76,45.87,463.5
19.16,63.09,449.51
9.6,41.03,481.73
12.21,40.64,464.03
10.94,40.81,476.32
19.69,57.32,449.59
20.08,49.69,453.54
10.03,41.79,475.42
16.94,50.59,460.64
25.71,58.59,451.28
14.14,43.34,464.36
19.83,51.19,449.0
14.22,42.32,465.0
12.04,41.58,464.45
22.07,48.41,444.01
26.76,70.98,437.83
18.78,63.09,452.86
22.48,71.29,444.71
20.34,46.63,453.62
27.24,71.25,430.94
10.54,41.93,479.65
7.45,43.13,485.6
30.91,69.75,435.7
4.04,35.47,486.86
7.51,41.66,485.58
21.41,54.2,448.11
12.66,40.35,473.11
7.34,40.72,483.92
14.46,45.87,458.69
27.57,69.84,426.6
8.26,44.71,485.19
30.47,70.83,444.39
29.42,69.14,437.75
27.58,78.05,431.95
27.5,65.34,439.59
30.96,71.77,425.66
23.43,63.94,440.16
10.33,40.62,473.16
9.55,40.67,486.34
33.6,74.33,428.62
28.9,68.84,437.06
7.98,39.61,479.78
12.42,38.25,472.3
26.67,70.94,439.13
27.05,77.95,434.09
29.06,72.86,432.12
8.31,40.46,476.72
8.66,40.11,479.76
7.54,38.56,486.76
17.17,44.68,462.53
11.93,38.78,474.57
24.57,66.54,432.41
30.16,69.34,433.54
24.41,56.9,439.51
11.47,40.27,479.44
27.06,43.77,442.15
28.57,75.33,431.58
18.24,58.46,449.63
14.91,39.28,469.34
24.27,60.23,438.99
13.07,40.83,471.19
21.31,58.66,451.96
31.23,75.08,439.14
14.2,40.92,460.42
29.08,70.83,430.91
15.24,48.6,459.85
19.13,66.86,453.31
31.1,68.51,428.68
32.36,73.91,431.92
10.87,42.02,472.63
21.71,60.27,441.19
7.54,37.7,481.56
3.99,39.9,490.91
29.75,73.5,433.63
16.3,39.63,464.11
13.9,42.86,473.76
10.57,36.71,473.88
23.74,63.9,445.47
6.05,38.68,483.5
28.74,70.32,431.93
15.06,41.85,466.72
23.22,66.56,437.11
24.49,59.87,444.54
29.97,69.14,433.82
15.24,45.87,456.33
8.36,40.22,484.66
13.26,40.83,472.14
9.99,43.52,473.64
20.55,48.98,452.52
15.3,41.76,466.59
23.93,68.28,444.95
24.98,58.05,447.15
3.21,38.44,492.93
19.13,58.66,453.92
10.52,41.48,469.8
29.53,70.94,432.43
29.53,71.14,431.97
10.44,39.04,480.34
15.55,43.02,466.2
21.44,48.98,454.5
21.6,59.8,450.14
27.25,50.05,439.63
23.62,68.63,447.3
14.73,39.82,470.41
13.9,41.17,468.96
12.58,43.67,473.02
12.8,44.9,466.95
10.06,39.61,471.86
7.0,39.81,484.51
11.74,43.56,477.5
8.83,43.56,482.43
5.0,40.64,485.27
19.38,54.9,454.1
30.15,67.32,436.92
27.97,66.17,441.7
26.31,66.48,432.89
15.48,41.66,467.06
26.5,66.75,431.23
16.47,44.89,459.69
25.32,60.37,438.5
21.07,67.07,446.05
11.82,41.54,476.97
15.63,41.79,455.24
24.31,44.05,442.69
17.28,65.94,454.76
9.97,41.62,464.86
2.71,39.42,489.3
25.16,58.82,442.0
29.54,72.29,443.79
23.38,48.6,440.9
13.35,39.58,465.85
25.82,59.43,436.67
17.74,58.33,446.01
8.81,43.56,482.52
14.93,41.79,456.75
28.15,72.24,431.75
21.91,48.7,449.8
21.54,58.12,454.32
28.98,73.42,432.2
15.86,43.5,459.42
30.36,71.8,437.4
12.52,42.34,464.71
10.66,41.93,479.61
21.09,74.93,443.51
21.8,51.3,450.25
